Design Study 1
Scenarios/Iterations:, 152
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152
SS OD,,N/A,0.023139,0.013109,0.009972,0.017274,0.012976,0.012240,0.014095,0.010357,0.017462,0.013976,0.010860,0.015403,0.016840,0.018617,0.013029,0.011529,0.013543,0.014463,0.011953,0.014228,0.017324,0.015080,0.014094,0.014505,0.012088,0.009652,0.014825,0.013457,0.011797,0.013407,0.014604,0.014054,0.013105,0.019891,0.014464,0.020636,0.012133,0.014073,0.012646,0.013924,0.014637,0.013949,0.014859,0.014607,0.014272,0.010774,0.012051,0.013005,0.010366,0.016230,0.016004,0.014348,0.012846,0.008795,0.019749,0.016904,0.013472,0.012303,0.010015,0.011481,0.015452,0.012122,0.017433,0.012287,0.018643,0.013872,0.013695,0.018253,0.012934,0.013383,0.012087,0.014261,0.010856,0.009864,0.013996,0.013503,0.017587,0.014875,0.013052,0.011922,0.012826,0.010317,0.013728,0.011493,0.012257,0.013628,0.013922,0.011011,0.013104,0.013197,0.012350,0.013913,0.012417,0.011900,0.013159,0.015688,0.012766,0.015985,0.010869,0.012633,0.020853,0.017803,0.014491,0.010971,0.014579,0.015547,0.011897,0.014349,0.012073,0.016088,0.010492,0.019038,0.008817,0.014720,0.015992,0.014100,0.011619,0.010581,0.021603,0.018477,0.012018,0.013589,0.016711,0.013260,0.015558,0.014130,0.013142,0.013383,0.017176,0.011342,0.008150,0.014792,0.013534,0.014305,0.012786,0.018297,0.017003,0.017824,0.013192,0.015567,0.015399,0.012015,0.011924,0.017414,0.014635,0.014427,0.013754,0.016432,0.015177,0.011436,0.017681,0.013681,0.013994
ST OD,,N/A,0.046588,0.031401,0.031802,0.030054,0.033969,0.031495,0.032480,0.031026,0.031478,0.032068,0.032767,0.030949,0.030465,0.030602,0.031750,0.029568,0.033172,0.032651,0.031711,0.032049,0.031574,0.031663,0.031720,0.031418,0.032931,0.028496,0.031935,0.032480,0.033603,0.031847,0.031798,0.032165,0.031794,0.029914,0.032478,0.029843,0.032435,0.031987,0.029918,0.031822,0.032253,0.032193,0.031196,0.031463,0.029565,0.033299,0.032087,0.032119,0.033429,0.031475,0.031781,0.031957,0.030955,0.031098,0.029797,0.032231,0.031738,0.030788,0.031819,0.030631,0.031266,0.032861,0.031562,0.032522,0.028219,0.031669,0.031716,0.029587,0.032783,0.031447,0.032675,0.032427,0.032742,0.031644,0.032957,0.031751,0.031670,0.029811,0.031202,0.033502,0.030706,0.033214,0.030669,0.030576,0.030631,0.032751,0.032060,0.032729,0.030303,0.030964,0.030782,0.029588,0.032960,0.033562,0.032777,0.029581,0.033247,0.029597,0.032402,0.032455,0.029581,0.031078,0.029433,0.032415,0.031644,0.031981,0.030005,0.032517,0.030716,0.032554,0.031069,0.028942,0.032199,0.032998,0.031763,0.032574,0.030716,0.030658,0.028353,0.030958,0.031801,0.032603,0.030004,0.032498,0.031697,0.031686,0.033084,0.032577,0.031282,0.033280,0.033064,0.032261,0.031572,0.031156,0.032589,0.030706,0.031021,0.029225,0.031505,0.033338,0.031740,0.031623,0.032876,0.031531,0.032131,0.031471,0.031410,0.031447,0.031731,0.033526,0.030684,0.032122,0.033006
CS F,,m,0.02205,0.01435,0.01426,0.0138,0.01453,0.01419,0.0145,0.01315,0.01433,0.01459,0.01416,0.01316,0.01332,0.01411,0.0142,0.01255,0.01453,0.0144,0.01413,0.01433,0.01412,0.0139,0.01385,0.01439,0.01438,0.01197,0.01425,0.01377,0.01443,0.01447,0.01399,0.01414,0.01438,0.014,0.0142,0.0141,0.01393,0.01459,0.0134,0.01398,0.01447,0.01465,0.01393,0.01396,0.01313,0.01453,0.0142,0.01446,0.01435,0.01464,0.01418,0.01373,0.01367,0.01383,0.0136,0.01415,0.01433,0.01381,0.01426,0.01367,0.01453,0.01439,0.01441,0.0145,0.01298,0.01423,0.0145,0.01356,0.01448,0.01393,0.01437,0.01427,0.01447,0.01301,0.0138,0.01443,0.01313,0.0133,0.01342,0.01436,0.01268,0.01454,0.01411,0.01366,0.01386,0.01465,0.01431,0.01408,0.01374,0.01336,0.0136,0.01331,0.01456,0.01444,0.01449,0.01369,0.01454,0.01392,0.01417,0.01426,0.01389,0.01454,0.01306,0.01406,0.0146,0.01442,0.01321,0.01429,0.01389,0.01419,0.01366,0.01325,0.01413,0.01405,0.01405,0.01351,0.01387,0.01383,0.01301,0.01451,0.01429,0.01424,0.01378,0.01467,0.01431,0.01452,0.01441,0.01456,0.01419,0.01424,0.0135,0.01393,0.01405,0.01432,0.01447,0.01447,0.01444,0.01327,0.01347,0.01442,0.01413,0.01416,0.01436,0.0146,0.01394,0.0136,0.01375,0.01455,0.01445,0.0143,0.01441,0.01446,0.01446
HT LX,,N/A,0.057276,0.042727,0.045885,0.045898,0.053464,0.042164,0.055559,0.036943,0.048645,0.050254,0.049068,0.035428,0.036641,0.048347,0.044952,0.026493,0.050295,0.049029,0.042172,0.047350,0.045857,0.046838,0.045754,0.045478,0.049892,0.020230,0.050434,0.052627,0.056494,0.044446,0.046809,0.050908,0.050318,0.044774,0.049335,0.047838,0.047251,0.047587,0.032992,0.049895,0.048928,0.051406,0.043221,0.044890,0.035744,0.054431,0.044040,0.045792,0.060708,0.048056,0.048596,0.046322,0.041608,0.038839,0.042278,0.048780,0.045686,0.039980,0.049185,0.039412,0.046911,0.048557,0.047703,0.052236,0.036668,0.050492,0.044649,0.038975,0.052804,0.045683,0.046653,0.052648,0.050210,0.043116,0.054516,0.044182,0.040492,0.037627,0.039930,0.050295,0.042305,0.060129,0.041044,0.036362,0.038547,0.053049,0.051426,0.046125,0.039292,0.040620,0.045182,0.034744,0.052173,0.052952,0.047732,0.040532,0.053926,0.041300,0.046261,0.045503,0.046844,0.047906,0.030851,0.043615,0.046815,0.054721,0.030379,0.053087,0.038041,0.049945,0.039854,0.039911,0.043960,0.052605,0.045624,0.052137,0.039924,0.042814,0.040332,0.049632,0.052710,0.057137,0.039970,0.053054,0.046900,0.045377,0.055877,0.048487,0.051564,0.049720,0.044850,0.047324,0.046288,0.045597,0.047119,0.047414,0.046247,0.039886,0.050218,0.055312,0.044463,0.043720,0.046586,0.049331,0.046686,0.045030,0.047490,0.047163,0.046166,0.052132,0.047368,0.045713,0.049965
ST UX,,N/A,0.035929,0.047019,0.082135,0.029705,0.060394,0.048490,0.072916,0.100781,0.048205,0.062134,0.057831,0.060442,0.049676,0.047712,0.040055,0.085605,0.048688,0.049845,0.046911,0.058593,0.049391,0.070889,0.069942,0.044799,0.055045,0.047620,0.068711,0.093144,0.083126,0.045388,0.068425,0.075552,0.063965,0.030514,0.057340,0.028408,0.084635,0.046846,0.047001,0.080752,0.041820,0.054975,0.057338,0.064936,0.049284,0.079091,0.045718,0.052672,0.119773,0.038732,0.058781,0.070699,0.079614,0.083434,0.038045,0.051716,0.043922,0.071738,0.100198,0.046532,0.038109,0.057896,0.044751,0.066044,0.024347,0.078539,0.047124,0.033641,0.074263,0.076962,0.050526,0.073197,0.070782,0.119007,0.087086,0.045078,0.056334,0.050556,0.080366,0.058519,0.108980,0.100092,0.044433,0.056693,0.051987,0.067871,0.074728,0.066387,0.040182,0.083578,0.094899,0.037927,0.063021,0.064520,0.049831,0.031598,0.057908,0.034121,0.054959,0.042142,0.028029,0.038414,0.047843,0.050085,0.042245,0.056904,0.072305,0.072224,0.055220,0.047491,0.051716,0.031394,0.072664,0.063121,0.056663,0.089977,0.070533,0.087395,0.025034,0.037127,0.098145,0.091199,0.036737,0.070753,0.053044,0.048346,0.084849,0.048152,0.038262,0.055641,0.096771,0.059822,0.073619,0.037525,0.053495,0.031374,0.040122,0.034858,0.102929,0.046362,0.053309,0.051738,0.049925,0.041338,0.058344,0.078012,0.084352,0.044595,0.049533,0.059555,0.034542,0.045335,0.054918
HT UX,,N/A,0.044683,0.027365,0.025560,0.026659,0.031822,0.025746,0.034048,0.021354,0.034332,0.031583,0.025529,0.028535,0.028610,0.033716,0.027685,0.020915,0.032585,0.032348,0.025990,0.030840,0.033613,0.034823,0.030733,0.029302,0.028163,0.010298,0.034829,0.031093,0.029533,0.029168,0.033149,0.032684,0.030248,0.028852,0.032048,0.030990,0.026521,0.030772,0.021933,0.032662,0.031294,0.031564,0.032105,0.033167,0.025038,0.027837,0.027088,0.028238,0.029064,0.031422,0.035079,0.031320,0.028074,0.020723,0.030701,0.034779,0.028368,0.026976,0.027081,0.022462,0.029689,0.027705,0.033139,0.028765,0.023004,0.033308,0.029118,0.026867,0.030307,0.030054,0.028042,0.033827,0.027007,0.022462,0.033746,0.028779,0.031526,0.027006,0.027202,0.028804,0.030181,0.027695,0.026862,0.021529,0.023459,0.031319,0.032397,0.025145,0.024280,0.028590,0.029252,0.023620,0.029173,0.028571,0.030558,0.024824,0.030635,0.025430,0.024712,0.029342,0.030446,0.031778,0.025103,0.024348,0.030474,0.034366,0.022119,0.034187,0.022989,0.034195,0.021128,0.027005,0.021337,0.034268,0.034060,0.033919,0.025716,0.026710,0.027632,0.032574,0.030340,0.033697,0.027090,0.030856,0.033307,0.029431,0.030990,0.030957,0.030798,0.026879,0.020564,0.032234,0.030255,0.028273,0.028901,0.030069,0.030764,0.026989,0.032625,0.036918,0.031875,0.025753,0.028531,0.033143,0.031375,0.033309,0.032730,0.032070,0.031981,0.027770,0.030247,0.030040,0.031172
HT Angle,,deg,67.81413,70.12443,73.49722,68.49554,70.40819,69.63344,72.74852,78.66118,71.10214,72.44854,70.27878,73.77183,72.47258,70.64775,69.29161,77.62676,70.15325,71.13339,69.14902,73.04423,71.66586,74.10676,74.84064,70.72559,70.37362,72.33823,73.55324,77.20081,73.97122,70.22713,74.13845,74.83898,71.83136,69.46014,73.08567,68.99278,75.90007,70.86807,72.26471,75.38641,69.54231,71.15384,72.83399,73.53691,72.70063,72.82673,69.21001,70.75948,76.28553,70.26359,72.50116,75.03885,75.60296,73.61806,70.34452,71.97369,70.15733,74.49213,74.9813,69.94034,69.82064,70.69595,70.96455,71.52596,69.51209,74.33908,70.67062,70.59282,73.53742,75.15772,69.5923,74.37417,72.44436,80.93044,76.61469,70.27494,73.10355,72.59294,76.35063,69.85146,79.72841,73.48316,71.11881,72.24679,71.53973,72.79882,74.36071,72.41463,70.05069,76.59422,76.8289,71.42083,71.21499,70.93058,70.08689,69.40045,69.95001,69.98932,70.36168,69.23387,69.00894,70.37045,73.45617,68.85025,70.38628,70.81073,75.49109,74.21709,72.12502,71.72679,70.02855,69.89465,72.13803,73.68828,72.60316,77.23418,73.82785,74.64842,69.07653,69.79305,74.82146,75.66325,70.90204,72.52724,72.07266,71.27431,74.62137,70.48738,69.0727,69.792,76.59626,73.46494,74.7118,69.17338,70.31074,69.72093,70.62413,70.33594,77.94159,69.84419,72.37495,70.80853,69.12648,70.46589,73.33372,75.40843,75.74513,71.06051,71.81613,69.94913,69.87523,70.42314,71.48978
HT Length,,m,0.10363,0.11712,0.11919,0.10673,0.12771,0.11497,0.14354,0.10184,0.12494,0.13501,0.11762,0.12781,0.1123,0.1179,0.11691,0.11,0.12641,0.13094,0.11309,0.13586,0.12549,0.15074,0.14074,0.11538,0.11866,0.09454,0.14775,0.14637,0.12511,0.11794,0.14704,0.14716,0.12654,0.08726,0.14371,0.09234,0.11428,0.12664,0.11312,0.14619,0.11417,0.12804,0.13395,0.14058,0.12373,0.12117,0.11593,0.12261,0.13459,0.11789,0.14068,0.14536,0.12621,0.11036,0.10465,0.13754,0.12359,0.12025,0.12276,0.11196,0.11452,0.1187,0.12121,0.12254,0.08904,0.14215,0.12162,0.09523,0.12915,0.13316,0.11794,0.15054,0.11923,0.10302,0.16175,0.1164,0.12498,0.12546,0.12752,0.11832,0.144,0.12511,0.12044,0.10923,0.11494,0.1365,0.14274,0.10762,0.11526,0.1329,0.13093,0.1145,0.12261,0.11897,0.12266,0.10402,0.12024,0.09724,0.11602,0.11599,0.0908,0.11058,0.11936,0.10887,0.11943,0.12912,0.11033,0.15197,0.10884,0.13725,0.10827,0.102,0.11015,0.15835,0.13785,0.16334,0.12081,0.12309,0.08812,0.11128,0.13483,0.15254,0.10094,0.13432,0.13362,0.12401,0.13838,0.12472,0.11763,0.11395,0.08687,0.14549,0.13332,0.10906,0.12208,0.09794,0.11213,0.11301,0.14766,0.13524,0.13157,0.12055,0.11588,0.11967,0.14036,0.1491,0.14337,0.12146,0.13021,0.11397,0.10636,0.11939,0.13101
ST Length,,N/A,0.352980,0.470033,0.541893,0.294183,0.466776,0.460985,0.527840,0.486656,0.401366,0.513917,0.529227,0.512440,0.438395,0.325188,0.484916,0.515916,0.492548,0.516855,0.467736,0.507415,0.426548,0.560498,0.533708,0.477464,0.501550,0.432674,0.545469,0.519813,0.451303,0.485425,0.553050,0.539933,0.527338,0.225453,0.519000,0.186543,0.448858,0.497930,0.464349,0.548420,0.473325,0.501719,0.514361,0.545831,0.464477,0.472897,0.489296,0.468600,0.507033,0.398382,0.500512,0.543689,0.536119,0.528934,0.274796,0.470433,0.489457,0.528706,0.548015,0.456746,0.414976,0.463265,0.392326,0.528694,0.242090,0.550143,0.482180,0.312701,0.477537,0.532412,0.475647,0.543736,0.492674,0.480410,0.556702,0.482902,0.473067,0.461367,0.520541,0.453354,0.597936,0.514997,0.471731,0.455349,0.459303,0.493718,0.531732,0.420151,0.449764,0.547781,0.567628,0.439367,0.481049,0.458714,0.479000,0.358622,0.494922,0.362483,0.490277,0.497807,0.177560,0.337480,0.482360,0.454060,0.472017,0.453735,0.500363,0.544031,0.438313,0.495061,0.457186,0.259836,0.503258,0.546737,0.500926,0.572629,0.531236,0.571039,0.147003,0.300682,0.554012,0.546326,0.369759,0.505798,0.491348,0.481526,0.488769,0.497930,0.349919,0.488581,0.374174,0.538903,0.525963,0.434071,0.467419,0.295392,0.373019,0.317122,0.574226,0.479592,0.503702,0.492501,0.471095,0.372207,0.526876,0.575742,0.568448,0.415894,0.491480,0.489489,0.321684,0.492101,0.483013
BB Length,,m,0.06807,0.0702,0.06102,0.07058,0.06669,0.06895,0.06528,0.06097,0.06992,0.0673,0.06357,0.07463,0.07522,0.06973,0.06862,0.06729,0.06835,0.07105,0.06894,0.0691,0.0714,0.06921,0.06873,0.07174,0.06518,0.06879,0.06816,0.06398,0.06139,0.0702,0.06908,0.06651,0.065,0.07331,0.06995,0.07201,0.0633,0.06849,0.07032,0.06607,0.07087,0.06671,0.06976,0.06916,0.06979,0.06096,0.06805,0.06801,0.05591,0.07003,0.06961,0.06946,0.06564,0.06117,0.07302,0.07183,0.06831,0.06601,0.05888,0.06821,0.07019,0.06562,0.07085,0.06352,0.07445,0.06596,0.07015,0.07434,0.06437,0.06614,0.06687,0.06666,0.06249,0.057,0.06525,0.0707,0.07652,0.07013,0.06749,0.06543,0.06427,0.05739,0.07004,0.06806,0.06882,0.06593,0.06602,0.06468,0.06964,0.0669,0.06318,0.07104,0.06488,0.06401,0.06871,0.07132,0.06474,0.07262,0.06464,0.06853,0.07236,0.0709,0.07323,0.06649,0.07008,0.06588,0.06806,0.06684,0.06891,0.0725,0.06643,0.07319,0.06107,0.06955,0.07067,0.06601,0.06513,0.06197,0.07443,0.0702,0.0615,0.06316,0.0735,0.06513,0.06974,0.07027,0.06325,0.06788,0.06814,0.06445,0.05838,0.07129,0.06654,0.07017,0.06763,0.07241,0.07113,0.07201,0.06315,0.07054,0.07176,0.06696,0.0672,0.07025,0.07127,0.06846,0.06619,0.07027,0.07059,0.06367,0.07115,0.07051,0.06922
Dropout Offset,,N/A,0.130021,0.135465,0.127145,0.135337,0.135009,0.134824,0.129808,0.127229,0.131779,0.130416,0.130339,0.135471,0.136630,0.132397,0.134252,0.130662,0.135060,0.135508,0.135523,0.132267,0.132130,0.129112,0.131243,0.136717,0.131810,0.131051,0.129212,0.128708,0.128464,0.135460,0.130141,0.129542,0.130435,0.137986,0.132998,0.136226,0.129460,0.132134,0.132548,0.128824,0.137332,0.131590,0.130751,0.130074,0.130943,0.128285,0.134391,0.133245,0.125101,0.133689,0.129909,0.131707,0.128927,0.126100,0.135226,0.132116,0.132493,0.129006,0.126145,0.133031,0.134472,0.132135,0.133084,0.130453,0.138414,0.128707,0.134755,0.137639,0.129513,0.129211,0.134183,0.129621,0.128663,0.124955,0.129465,0.136060,0.136641,0.131152,0.131165,0.134752,0.126754,0.127567,0.133239,0.130918,0.131860,0.130472,0.129246,0.131068,0.134017,0.129898,0.126684,0.133752,0.131170,0.131577,0.135617,0.136051,0.132877,0.137773,0.130706,0.134943,0.136347,0.134452,0.134476,0.134804,0.134475,0.132069,0.131236,0.129763,0.132428,0.134975,0.131815,0.135575,0.127178,0.132301,0.130814,0.129148,0.128231,0.127099,0.137325,0.134164,0.127376,0.127685,0.137102,0.130014,0.130947,0.134165,0.129257,0.133253,0.133546,0.132379,0.127168,0.133153,0.129614,0.135767,0.134483,0.137121,0.134395,0.134015,0.126343,0.135708,0.133051,0.130843,0.135843,0.133360,0.133835,0.129250,0.128414,0.132975,0.132482,0.132364,0.134932,0.135622,0.134742
SSB OD,,N/A,0.015832,0.015682,0.013821,0.000000,0.015386,0.015271,0.014843,0.013777,0.000000,0.015342,0.014185,0.000000,0.000000,0.000000,0.000000,0.000000,0.015603,0.000000,0.015210,0.000000,0.000000,0.000000,0.000000,0.000000,0.014783,0.000000,0.000000,0.000000,0.014386,0.000000,0.000000,0.000000,0.014750,0.000000,0.000000,0.000000,0.014643,0.000000,0.000000,0.000000,0.000000,0.015214,0.000000,0.000000,0.000000,0.014083,0.015055,0.015444,0.013256,0.000000,0.000000,0.000000,0.000000,0.013491,0.000000,0.000000,0.000000,0.014801,0.013582,0.014847,0.000000,0.014967,0.000000,0.014516,0.000000,0.000000,0.000000,0.000000,0.014916,0.000000,0.015087,0.000000,0.014222,0.013165,0.000000,0.000000,0.000000,0.000000,0.000000,0.015067,0.000000,0.013452,0.000000,0.014906,0.015168,0.015286,0.000000,0.014576,0.000000,0.000000,0.014185,0.000000,0.014898,0.014745,0.015626,0.000000,0.014844,0.000000,0.014425,0.015256,0.000000,0.000000,0.000000,0.014692,0.000000,0.000000,0.000000,0.000000,0.015220,0.000000,0.014480,0.000000,0.013545,0.000000,0.000000,0.000000,0.014615,0.013934,0.000000,0.000000,0.014097,0.014476,0.000000,0.015051,0.000000,0.000000,0.014803,0.015453,0.000000,0.014571,0.013299,0.000000,0.000000,0.000000,0.015403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014941,0.015186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014533,0.000000,0.000000,0.015819
CSB OD,,N/A,0.017739,0.000000,0.016375,0.000000,0.017193,0.000000,0.000000,0.015613,0.000000,0.000000,0.016847,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017117,0.000000,0.000000,0.000000,0.016320,0.000000,0.000000,0.000000,0.017141,0.000000,0.000000,0.000000,0.016258,0.000000,0.000000,0.000000,0.000000,0.017411,0.000000,0.000000,0.000000,0.016341,0.017285,0.017297,0.015724,0.000000,0.000000,0.000000,0.000000,0.016085,0.000000,0.000000,0.000000,0.000000,0.016147,0.000000,0.000000,0.016965,0.000000,0.016987,0.000000,0.000000,0.000000,0.000000,0.016845,0.000000,0.017185,0.000000,0.016532,0.015064,0.000000,0.000000,0.000000,0.000000,0.000000,0.016936,0.000000,0.016086,0.000000,0.000000,0.000000,0.017218,0.000000,0.016397,0.000000,0.000000,0.000000,0.000000,0.017029,0.016808,0.000000,0.000000,0.017170,0.000000,0.016809,0.000000,0.000000,0.000000,0.000000,0.016842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016688,0.000000,0.016057,0.000000,0.000000,0.000000,0.016862,0.016498,0.000000,0.000000,0.016568,0.000000,0.000000,0.017174,0.000000,0.000000,0.016746,0.000000,0.000000,0.016923,0.014874,0.000000,0.000000,0.000000,0.017237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017144,0.017193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016892,0.000000,0.000000,0.000000
