Design Study 1
Scenarios/Iterations:, 143
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143
CS OD,,N/A,0.030397,0.024009,0.022979,0.024023,0.024132,0.022058,0.024412,0.032305,0.021477,0.022868,0.023513,0.020894,0.023909,0.023945,0.020252,0.019534,0.021904,0.022228,0.022836,0.022329,0.016140,0.024421,0.022247,0.021454,0.022799,0.024763,0.023071,0.023592,0.020793,0.020581,0.022813,0.025410,0.020569,0.023823,0.033203,0.023230,0.023972,0.023653,0.021910,0.024267,0.024485,0.023410,0.023926,0.023637,0.021925,0.025507,0.022766,0.023827,0.023638,0.024989,0.024349,0.023151,0.024683,0.021983,0.022535,0.023305,0.023641,0.023673,0.024988,0.022562,0.034224,0.023476,0.027666,0.021727,0.023930,0.023042,0.023604,0.021359,0.023038,0.022655,0.022654,0.024038,0.023472,0.024647,0.038092,0.022554,0.023415,0.023480,0.023936,0.015024,0.022035,0.021261,0.021905,0.025013,0.022673,0.021493,0.022122,0.023287,0.033939,0.024592,0.024002,0.024011,0.022586,0.025464,0.022943,0.024870,0.023088,0.024110,0.022475,0.021297,0.023668,0.025221,0.024385,0.021848,0.023102,0.023338,0.022912,0.022626,0.025765,0.022851,0.023575,0.024408,0.021716,0.023662,0.023537,0.025520,0.022026,0.024201,0.015649,0.021638,0.023623,0.034535,0.024484,0.021829,0.023056,0.025152,0.024753,0.023929,0.024238,0.022452,0.023416,0.024440,0.022762,0.022784,0.023763,0.023064,0.024001,0.024595,0.022450,0.024433,0.024179,0.023025,0.023151,0.023080
SS OD,,N/A,0.023139,0.014978,0.012020,0.015226,0.012978,0.012472,0.014971,0.021189,0.014479,0.011178,0.014210,0.012156,0.012771,0.011523,0.024445,0.013188,0.014678,0.011901,0.013499,0.015665,0.010475,0.013962,0.012711,0.015767,0.014535,0.017210,0.014767,0.014320,0.013676,0.011800,0.014153,0.014504,0.014270,0.018692,0.021256,0.013115,0.013053,0.012565,0.012607,0.013456,0.012229,0.009382,0.013394,0.014740,0.012973,0.012063,0.012424,0.012377,0.011897,0.014343,0.019684,0.015257,0.019041,0.013420,0.013096,0.011379,0.013842,0.013338,0.013666,0.013480,0.019245,0.014326,0.013441,0.013340,0.013048,0.013154,0.011820,0.016800,0.020963,0.013790,0.016011,0.014478,0.015757,0.012562,0.014780,0.015264,0.014537,0.014378,0.012207,0.012943,0.014909,0.014132,0.013465,0.012599,0.013150,0.012445,0.013014,0.013765,0.012940,0.010046,0.011800,0.012515,0.011449,0.013646,0.013083,0.012241,0.011885,0.013042,0.012551,0.012179,0.014616,0.020708,0.014137,0.012239,0.012978,0.019920,0.015073,0.014037,0.013547,0.011913,0.011614,0.012679,0.013105,0.016477,0.013360,0.015626,0.012295,0.014585,0.013537,0.019434,0.011102,0.024677,0.012643,0.012427,0.013844,0.013644,0.013033,0.012008,0.013157,0.012570,0.013146,0.015254,0.012475,0.011588,0.012294,0.018621,0.012568,0.014327,0.013949,0.013588,0.015149,0.011575,0.015000,0.012624
ST OD,,N/A,0.046588,0.032374,0.032998,0.031832,0.031861,0.029516,0.032274,0.031729,0.029401,0.031761,0.031557,0.032461,0.030170,0.032773,0.034643,0.031800,0.029080,0.031210,0.031926,0.031848,0.029065,0.032303,0.030507,0.028400,0.030824,0.031778,0.030111,0.028939,0.031658,0.027763,0.032009,0.032048,0.035256,0.030426,0.031921,0.032595,0.046062,0.031674,0.033127,0.029517,0.031101,0.031945,0.029589,0.029213,0.031017,0.031737,0.030500,0.031785,0.031843,0.031772,0.031748,0.029453,0.031654,0.029360,0.030665,0.032115,0.031715,0.031834,0.031695,0.031310,0.031198,0.030380,0.045999,0.029807,0.031778,0.031691,0.031695,0.030783,0.032067,0.030441,0.031087,0.031947,0.031826,0.031537,0.031803,0.029903,0.031750,0.031894,0.033955,0.028165,0.031504,0.031733,0.029036,0.031629,0.030768,0.033676,0.030838,0.031707,0.033593,0.031586,0.029654,0.033341,0.031706,0.033641,0.031856,0.031508,0.027396,0.030685,0.029617,0.032103,0.030788,0.031681,0.032708,0.031025,0.027580,0.030748,0.029685,0.031825,0.031531,0.031880,0.031860,0.028480,0.028558,0.029453,0.031816,0.030233,0.031643,0.032096,0.028459,0.031964,0.029811,0.031637,0.031781,0.029019,0.033544,0.031936,0.030737,0.031855,0.031590,0.030475,0.031942,0.031904,0.031801,0.028608,0.031926,0.030521,0.031522,0.030444,0.031878,0.031408,0.030520,0.031739,0.031892,0.031727
CS F,,m,0.02205,0.01504,0.01495,0.01497,0.01503,0.01498,0.01514,0.01496,0.01497,0.01497,0.01512,0.01501,0.01484,0.01502,0.00791,0.01505,0.01494,0.01505,0.01491,0.01502,0.01413,0.01503,0.01502,0.01494,0.015,0.01503,0.01496,0.01495,0.01497,0.01502,0.01502,0.01506,0.01502,0.01492,0.01497,0.0149,0.01504,0.01506,0.01498,0.02342,0.01501,0.01497,0.0151,0.01512,0.01508,0.01516,0.01496,0.015,0.01504,0.01489,0.01499,0.01505,0.01496,0.01472,0.01496,0.01537,0.01494,0.01493,0.01499,0.015,0.015,0.01492,0.01486,0.01529,0.01495,0.01493,0.01504,0.01501,0.01491,0.01495,0.01489,0.01502,0.01503,0.01503,0.015,0.01506,0.01501,0.015,0.01492,0.01461,0.015,0.01497,0.01508,0.01499,0.01498,0.01502,0.01497,0.015,0.01473,0.0155,0.01509,0.01512,0.01498,0.01498,0.01508,0.008584,0.01503,0.01504,0.01503,0.01502,0.01507,0.01508,0.01499,0.01548,0.01485,0.01499,0.01498,0.01505,0.015,0.01498,0.01507,0.01496,0.01506,0.01501,0.01505,0.01545,0.01502,0.01503,0.01487,0.01499,0.01504,0.015,0.008248,0.01492,0.01499,0.01499,0.01503,0.0149,0.01474,0.01496,0.01498,0.01504,0.01492,0.01498,0.01496,0.01505,0.01492,0.01507,0.01501,0.01492,0.01493,0.01499,0.01505,0.01496
HT LX,,N/A,0.057276,0.044469,0.054513,0.049635,0.046350,0.042103,0.046512,0.033672,0.030632,0.045083,0.046524,0.050931,0.034812,0.046757,0.035834,0.054169,0.044696,0.045113,0.049574,0.052838,0.034182,0.047016,0.046103,0.051968,0.048222,0.048105,0.044421,0.039572,0.043957,0.047367,0.054817,0.045291,0.049615,0.031617,0.049107,0.044334,0.047588,0.044623,0.050241,0.052735,0.047327,0.049243,0.048481,0.051411,0.031636,0.050640,0.031646,0.051283,0.048934,0.045607,0.063259,0.031087,0.054629,0.047555,0.052766,0.050214,0.051769,0.040751,0.055034,0.037014,0.050185,0.056060,0.093472,0.032667,0.050100,0.050217,0.040865,0.035381,0.050178,0.051573,0.046815,0.047798,0.048533,0.052098,0.050065,0.034652,0.051400,0.053411,0.046675,0.029876,0.048829,0.036812,0.040431,0.042637,0.022567,0.049354,0.051453,0.049577,0.046587,0.049522,0.035299,0.047781,0.052640,0.053257,0.052128,0.034346,0.043240,0.053728,0.047765,0.050046,0.051077,0.045234,0.098875,0.043522,0.027400,0.032934,0.050395,0.053645,0.046384,0.054271,0.050812,0.054277,0.031123,0.048404,0.053320,0.048591,0.040959,0.046438,0.044270,0.041447,0.034213,0.037681,0.038070,0.037987,0.048529,0.044929,0.038405,0.050430,0.047978,0.045516,0.035716,0.048015,0.050913,0.034205,0.052717,0.044482,0.049200,0.050856,0.048856,0.046187,0.042898,0.043951,0.049924,0.033799
ST UX,,N/A,0.035929,0.050837,0.052505,0.049433,0.046336,0.033867,0.050247,0.018970,0.049172,0.046996,0.029650,0.033996,0.020673,0.048553,0.121834,0.057422,0.118136,0.050990,0.054745,0.048934,0.021048,0.047932,0.039428,0.050455,0.043086,0.047987,0.048166,0.040341,0.063870,0.038534,0.055794,0.046954,0.020055,0.033643,0.045033,0.047015,0.211092,0.040945,0.048040,0.052366,0.056573,0.017274,0.051111,0.035871,0.036589,0.029544,0.029928,0.048894,0.049172,0.048358,0.052701,0.018974,0.045287,0.048704,0.044492,0.020933,0.027068,0.050587,0.050177,0.022350,0.042314,0.044691,0.046911,0.041141,0.044112,0.044732,0.038630,0.035758,0.049511,0.036127,0.052443,0.050232,0.043996,0.047205,0.027709,0.060032,0.045504,0.049264,0.040156,0.017255,0.049874,0.024719,0.020153,0.024574,0.021149,0.051465,0.030373,0.022262,0.007968,0.038851,0.026579,0.045438,0.028052,0.009253,0.007852,0.024032,0.012343,0.049697,0.072424,0.047358,0.046425,0.048039,0.050047,0.018720,0.035739,0.024500,0.048549,0.052249,0.052425,0.051673,0.051602,0.045221,0.047970,0.067216,0.053322,0.035559,0.052849,0.160766,0.042405,0.070681,0.008828,0.059089,0.155756,0.037958,0.042204,0.045260,0.031508,0.036934,0.051125,0.043496,0.034520,0.047092,0.048245,0.035154,0.038193,0.108319,0.051794,0.023111,0.037006,0.028966,0.046862,0.040055,0.051978,0.036167
HT UX,,N/A,0.044683,0.029254,0.028689,0.029141,0.031918,0.036772,0.037421,0.036276,0.026269,0.039630,0.031077,0.036649,0.037146,0.032637,0.025528,0.031713,0.026861,0.027826,0.032472,0.030791,0.025782,0.030684,0.035990,0.035447,0.037791,0.028324,0.036127,0.030345,0.032971,0.025539,0.027145,0.084984,0.032747,0.034769,0.029342,0.030342,0.028197,0.032973,0.035399,0.031790,0.032843,0.034076,0.042064,0.043481,0.032703,0.041232,0.025286,0.028622,0.034981,0.033499,0.044142,0.028402,0.036694,0.034070,0.032075,0.030240,0.030248,0.022006,0.031117,0.023134,0.034951,0.037920,0.034479,0.038318,0.027547,0.034015,0.034229,0.031728,0.031777,0.028121,0.031073,0.020541,0.032224,0.033770,0.030213,0.024149,0.033816,0.023412,0.038952,0.027193,0.029616,0.031259,0.032904,0.030659,0.023907,0.034531,0.035559,0.023546,0.032168,0.036067,0.029313,0.035788,0.034436,0.032192,0.029647,0.029358,0.026669,0.027906,0.036473,0.026417,0.028338,0.031758,0.033825,0.026027,0.031432,0.028423,0.022372,0.030408,0.029264,0.029847,0.032276,0.040999,0.031536,0.029223,0.033222,0.038559,0.032764,0.034535,0.034748,0.030235,0.033337,0.027232,0.033707,0.028144,0.042812,0.027136,0.029586,0.038628,0.038284,0.029610,0.034447,0.028703,0.039251,0.025468,0.026434,0.027239,0.036210,0.030041,0.024103,0.024598,0.021219,0.029510,0.024598,0.037105
HT Angle,,deg,67.81413,72.169,72.99625,74.38948,75.22358,72.06443,73.69601,72.22442,70.44387,67.74058,74.60546,74.05619,72.46621,73.03925,35.32551,73.07836,71.42087,73.97544,70.79828,73.15443,73.08706,74.66175,71.9129,71.30641,70.82896,70.43035,70.70613,73.10064,67.76041,69.39132,73.18622,59.35369,71.95749,69.49073,71.30223,73.10536,35.15861,73.05394,72.09991,71.03839,73.11793,72.97236,72.79091,71.45592,67.34334,74.58802,72.44518,73.1079,73.25465,73.06211,77.6208,74.78589,71.09772,72.88756,72.92433,71.9474,72.9615,72.32627,72.94773,74.19275,71.10829,72.90181,72.18026,71.76744,73.19022,74.17651,74.43351,67.21815,72.95695,73.14233,64.72241,71.08982,70.77485,71.485,74.35119,64.82092,74.14847,72.08483,72.91137,72.23017,72.44812,70.37609,73.14869,64.64657,72.36712,71.79399,74.16284,71.8028,72.8816,71.8673,71.99678,72.23999,74.05272,74.1528,72.06273,72.98624,72.95348,73.04547,64.11539,74.8729,70.66933,73.12514,68.31526,74.7434,69.26651,72.5882,70.24435,71.59707,70.8148,72.94552,72.9187,73.0738,66.26603,68.68889,72.51148,66.2979,75.17378,60.20744,74.09697,68.90007,72.96543,70.33931,75.43018,71.43679,72.0998,71.19198,67.26212,71.89377,73.74422,69.72346,68.33891,70.27875,69.99587,77.47049,72.89351,66.6604,73.46601,72.39667,72.03134,72.98309,70.62211,73.99846,74.14342,60.73825
HT Length,,m,0.10363,0.11525,0.15098,0.12235,0.23781,0.17917,0.28703,0.12841,0.10635,0.14037,0.18848,0.11251,0.11558,0.14457,0.09623,0.11379,0.10655,0.16341,0.11019,0.10128,0.13385,0.09701,0.21985,0.11729,0.13187,0.10901,0.18023,0.10737,0.10841,0.12417,0.11728,0.1328,0.1758,0.10923,0.10308,0.17385,0.1081,0.14992,0.12439,0.12559,0.14105,0.17623,0.14996,0.14455,0.12575,0.16156,0.0981,0.14346,0.14643,0.14402,0.09799,0.10444,0.14942,0.14929,0.14144,0.1608,0.15559,0.09435,0.13173,0.11286,0.11389,0.12767,0.19369,0.31765,0.10371,0.13639,0.16143,0.11133,0.11218,0.12797,0.12202,0.12179,0.10464,0.1721,0.10856,0.1122,0.16018,0.14168,0.11558,0.1649,0.10374,0.18913,0.11983,0.10529,0.15085,0.26579,0.18554,0.08666,0.17063,0.20097,0.12776,0.17255,0.13044,0.17875,0.15949,0.1008,0.18927,0.10649,0.14871,0.17792,0.10695,0.11947,0.11158,0.18855,0.12143,0.13687,0.12822,0.1176,0.13947,0.15496,0.14663,0.14452,0.14276,0.13288,0.09754,0.14611,0.1261,0.14468,0.1223,0.12402,0.17662,0.0697,0.11113,0.18328,0.16802,0.2471,0.11547,0.17692,0.16912,0.08827,0.28979,0.1086,0.17962,0.11181,0.19961,0.11782,0.10727,0.12816,0.18035,0.17058,0.12397,0.11929,0.12789,0.13177
ST Length,,N/A,0.352980,0.391288,0.520468,0.539587,0.627220,0.603490,0.586592,0.190132,0.508490,0.445558,0.623401,0.599202,0.512159,0.570351,0.368719,0.529460,0.471555,0.594781,0.485195,0.315262,0.571144,0.214262,0.625442,0.310796,0.493099,0.283711,0.614561,0.544709,0.481005,0.598109,0.504409,0.476330,0.636570,0.518394,0.333221,0.599470,0.521343,0.596988,0.533371,0.526166,0.512238,0.563787,0.595225,0.492450,0.603141,0.560621,0.255917,0.539174,0.575222,0.627546,0.560912,0.576925,0.504094,0.724284,0.515752,0.592030,0.562573,0.443360,0.524626,0.590242,0.311972,0.514587,0.633290,0.599009,0.518878,0.573792,0.507396,0.332477,0.543749,0.551819,0.428590,0.268204,0.570085,0.538745,0.619985,0.502523,0.662057,0.503311,0.612694,0.532098,0.525750,0.561399,0.512350,0.429368,0.605139,0.519694,0.646094,0.283006,0.574578,0.532926,0.518295,0.571625,0.563742,0.553897,0.632294,0.563367,0.453594,0.416072,0.529757,0.663873,0.498859,0.504568,0.469803,0.560900,0.239044,0.401661,0.425429,0.483912,0.492149,0.566560,0.586556,0.439736,0.632907,0.337943,0.475640,0.391698,0.506363,0.575043,0.564590,0.455749,0.627895,0.265013,0.578796,0.618305,0.566567,0.594569,0.513315,0.555603,0.594411,0.276364,0.360287,0.333610,0.575330,0.563176,0.621986,0.454327,0.562301,0.494266,0.568528,0.519569,0.242474,0.384079,0.569537,0.429262
BB Length,,m,0.06807,0.06805,0.06808,0.06806,0.06797,0.06801,0.0699,0.06799,0.07306,0.06807,0.06837,0.06803,0.068,0.0681,0.06794,0.06799,0.06805,0.06786,0.06788,0.06808,0.06792,0.068,0.06803,0.06804,0.06803,0.06808,0.07294,0.06805,0.07307,0.06796,0.06802,0.06813,0.073,0.07281,0.06801,0.06801,0.06804,0.06807,0.06799,0.06805,0.06802,0.06804,0.06811,0.06742,0.06798,0.06875,0.068,0.06801,0.06802,0.06797,0.06804,0.06811,0.06894,0.06709,0.06807,0.06784,0.06805,0.06801,0.06802,0.06801,0.06806,0.06804,0.09274,0.06806,0.06796,0.06808,0.06803,0.073,0.06803,0.06803,0.07317,0.06802,0.06799,0.06858,0.06807,0.09771,0.06797,0.06799,0.06812,0.06829,0.07294,0.07315,0.06806,0.06801,0.06796,0.0684,0.06929,0.06806,0.06802,0.06962,0.06802,0.06804,0.0681,0.068,0.06823,0.06808,0.06808,0.06802,0.07309,0.06803,0.06806,0.06846,0.068,0.0692,0.06798,0.06806,0.0683,0.06798,0.06799,0.06801,0.06804,0.06799,0.06812,0.06799,0.06809,0.068,0.06803,0.07293,0.06764,0.07319,0.06823,0.07307,0.06808,0.07309,0.06802,0.06821,0.06807,0.06808,0.06819,0.06816,0.06806,0.0681,0.06803,0.06797,0.06805,0.07313,0.06795,0.06802,0.06806,0.06804,0.06808,0.06808,0.06795,0.06801
Dropout Offset,,N/A,0.130021,0.135040,0.130101,0.129987,0.129965,0.129977,0.166528,0.129971,0.142049,0.135077,0.129927,0.119974,0.129962,0.130047,0.135046,0.120045,0.135065,0.129946,0.129899,0.134847,0.120544,0.129971,0.129935,0.135068,0.129906,0.129959,0.135066,0.120118,0.142004,0.135059,0.119988,0.130038,0.141999,0.134958,0.134953,0.130003,0.130034,0.130073,0.130012,0.134987,0.129965,0.130050,0.129972,0.130029,0.130063,0.129957,0.129698,0.129937,0.120009,0.129951,0.119978,0.119952,0.129996,0.120023,0.134859,0.129938,0.129970,0.166297,0.129917,0.130064,0.129957,0.129991,0.134952,0.134949,0.129948,0.129959,0.120036,0.142085,0.130014,0.130037,0.142032,0.135099,0.129983,0.135014,0.129899,0.134959,0.130011,0.130007,0.129999,0.135099,0.130078,0.141942,0.130059,0.130047,0.129994,0.129950,0.130057,0.129816,0.129991,0.130073,0.129993,0.130021,0.130053,0.129996,0.134958,0.129806,0.134923,0.129978,0.135011,0.120082,0.130020,0.129943,0.130013,0.130038,0.135014,0.129793,0.135095,0.134990,0.130081,0.129994,0.129961,0.129946,0.141900,0.135072,0.129951,0.130005,0.129990,0.135019,0.120091,0.134952,0.130032,0.134992,0.119990,0.146728,0.130094,0.129988,0.130003,0.130010,0.129982,0.135004,0.134983,0.134949,0.135008,0.120013,0.130000,0.142055,0.130007,0.130000,0.129973,0.130064,0.135103,0.130005,0.130073,0.130008
SSB OD,,N/A,0.015832,0.000000,0.000000,0.016048,0.000000,0.000000,0.016056,0.000000,0.000000,0.016053,0.015084,0.000000,0.000000,0.015960,0.000000,0.000000,0.015973,0.015052,0.016102,0.000000,0.013947,0.016093,0.000000,0.000000,0.000000,0.000000,0.000000,0.015967,0.000000,0.016018,0.000000,0.015906,0.000000,0.015975,0.000000,0.015981,0.016014,0.015933,0.016008,0.015525,0.000000,0.000000,0.000000,0.000000,0.000000,0.016039,0.015892,0.015924,0.016034,0.015943,0.000000,0.000000,0.015999,0.015123,0.000000,0.015269,0.000000,0.016011,0.016069,0.000000,0.000000,0.000000,0.000000,0.015343,0.015970,0.000000,0.000000,0.000000,0.000000,0.015992,0.015858,0.000000,0.015934,0.016069,0.000000,0.000000,0.015976,0.015946,0.000000,0.000000,0.016000,0.015340,0.015869,0.016009,0.016108,0.016115,0.016127,0.000000,0.016157,0.014756,0.016030,0.016016,0.015993,0.015994,0.016054,0.000000,0.000000,0.000000,0.000000,0.016041,0.016024,0.015944,0.015899,0.014513,0.000000,0.000000,0.000000,0.016037,0.000000,0.000000,0.000000,0.000000,0.016035,0.000000,0.000000,0.000000,0.000000,0.000000,0.014756,0.000000,0.015807,0.000000,0.000000,0.000000,0.000000,0.016134,0.015981,0.000000,0.016082,0.000000,0.000000,0.000000,0.016014,0.000000,0.000000,0.000000,0.000000,0.000000,0.015970,0.015911,0.000000,0.015905,0.016011,0.015891
CSB OD,,N/A,0.017739,0.017860,0.000000,0.018065,0.000000,0.000000,0.017932,0.000000,0.000000,0.018041,0.017908,0.000000,0.000000,0.018027,0.000000,0.000000,0.018036,0.017920,0.017948,0.000000,0.011957,0.018004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017926,0.000000,0.000000,0.000000,0.000000,0.000000,0.018011,0.018005,0.018088,0.018048,0.018410,0.000000,0.000000,0.000000,0.000000,0.000000,0.017948,0.018109,0.017985,0.017992,0.017967,0.000000,0.000000,0.000000,0.018042,0.000000,0.018000,0.000000,0.018008,0.017929,0.000000,0.000000,0.018016,0.018041,0.017978,0.017999,0.000000,0.000000,0.000000,0.000000,0.018085,0.000000,0.000000,0.017968,0.018069,0.000000,0.000000,0.017999,0.018000,0.000000,0.000000,0.017956,0.018069,0.000000,0.018028,0.017971,0.017961,0.018012,0.000000,0.018010,0.017897,0.018074,0.018008,0.017960,0.017995,0.017995,0.000000,0.000000,0.000000,0.000000,0.018009,0.017989,0.000000,0.018055,0.017916,0.000000,0.000000,0.000000,0.017965,0.000000,0.018015,0.000000,0.000000,0.017988,0.000000,0.000000,0.000000,0.000000,0.000000,0.018038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018065,0.017975,0.000000,0.017966,0.000000,0.000000,0.000000,0.000000,0.018002,0.000000,0.000000,0.000000,0.000000,0.017959,0.018136,0.000000,0.017938,0.018054,0.017973
