Design Study 1
Scenarios/Iterations:, 158
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158
CS OD,,N/A,0.023629,0.024399,0.024295,0.022793,0.024196,0.024428,0.025802,0.023781,0.039034,0.023404,0.038312,0.026111,0.022820,0.022825,0.024782,0.023332,0.037536,0.023786,0.022819,0.033581,0.023341,0.031253,0.023592,0.033232,0.026030,0.023584,0.021849,0.026775,0.022961,0.024404,0.040813,0.023551,0.022832,0.023004,0.024047,0.023411,0.023575,0.025612,0.022472,0.023476,0.033484,0.023436,0.022880,0.023157,0.021827,0.039977,0.022485,0.023371,0.030721,0.045010,0.023363,0.022761,0.022763,0.036244,0.037421,0.027262,0.023139,0.022512,0.025018,0.039849,0.023401,0.023298,0.022964,0.023271,0.022847,0.022624,0.023265,0.046219,0.022767,0.028685,0.022781,0.026588,0.023046,0.034404,0.026793,0.023681,0.022570,0.022954,0.023382,0.022567,0.022359,0.022170,0.023951,0.024527,0.023478,0.040775,0.022699,0.024516,0.023014,0.022474,0.023317,0.022766,0.023671,0.024116,0.023542,0.022930,0.023460,0.024704,0.023293,0.023618,0.025303,0.023666,0.033640,0.032680,0.029130,0.023251,0.023950,0.023158,0.023104,0.036080,0.039227,0.023469,0.024275,0.026404,0.024176,0.025797,0.024393,0.030683,0.023276,0.023563,0.023057,0.027094,0.022002,0.024365,0.023638,0.029614,0.023011,0.022637,0.024069,0.023104,0.022856,0.030550,0.023061,0.023239,0.034029,0.023119,0.023790,0.022447,0.025809,0.024416,0.022445,0.034104,0.023685,0.024836,0.024335,0.036267,0.023160,0.022743,0.031485,0.022869,0.030360,0.040912,0.022816,0.025495,0.024971,0.026894,0.022526,0.028887,0.023182
SS OD,,N/A,0.014040,0.012878,0.012329,0.013524,0.014001,0.012764,0.017234,0.014309,0.026116,0.013760,0.023207,0.011860,0.013555,0.013682,0.013894,0.012986,0.024003,0.012135,0.013582,0.022900,0.013763,0.020426,0.013177,0.022222,0.011637,0.014079,0.013541,0.017543,0.013425,0.016158,0.029919,0.013851,0.014094,0.013605,0.011852,0.012999,0.013772,0.016037,0.013557,0.012769,0.018324,0.012761,0.013699,0.012713,0.013495,0.024550,0.013462,0.013617,0.020305,0.030219,0.013242,0.013880,0.013625,0.021948,0.023896,0.015357,0.013155,0.013395,0.014641,0.025559,0.013115,0.014082,0.013182,0.013036,0.013550,0.013511,0.013853,0.034656,0.013493,0.014701,0.013467,0.012466,0.013466,0.019757,0.014262,0.014653,0.013632,0.013037,0.013979,0.013437,0.013683,0.013689,0.014063,0.015053,0.013822,0.024211,0.013856,0.013812,0.013435,0.013169,0.014166,0.012475,0.011399,0.014046,0.013249,0.013394,0.011812,0.012473,0.013413,0.011967,0.014727,0.014290,0.021667,0.017738,0.017937,0.012758,0.012384,0.012702,0.012362,0.024149,0.023110,0.013116,0.012593,0.015084,0.014073,0.015158,0.012742,0.016515,0.013859,0.014191,0.013478,0.016176,0.013395,0.012825,0.014483,0.020804,0.013761,0.013768,0.013552,0.013533,0.013735,0.020242,0.011708,0.014082,0.023150,0.013156,0.011940,0.013732,0.013943,0.012074,0.013411,0.021287,0.013266,0.016049,0.013853,0.024631,0.013592,0.013517,0.017503,0.012834,0.020158,0.024090,0.013841,0.014793,0.013905,0.018164,0.013495,0.018419,0.013124
ST OD,,N/A,0.031347,0.032935,0.030423,0.033019,0.031433,0.031546,0.031408,0.033941,0.031487,0.031613,0.032896,0.033140,0.031657,0.037292,0.031566,0.034835,0.031659,0.031038,0.032587,0.032020,0.031595,0.033159,0.031510,0.032934,0.031596,0.034789,0.034968,0.031559,0.033094,0.034543,0.031255,0.032690,0.031663,0.032343,0.030782,0.034066,0.031512,0.033919,0.033850,0.030855,0.032134,0.035817,0.034393,0.030878,0.034531,0.033187,0.033872,0.031485,0.031604,0.031591,0.033737,0.032046,0.032588,0.032925,0.035067,0.033449,0.031552,0.035953,0.033972,0.033954,0.031349,0.031894,0.035612,0.033521,0.033544,0.033209,0.033514,0.031544,0.031467,0.031401,0.031405,0.031311,0.032291,0.033204,0.031512,0.033101,0.034388,0.031332,0.031611,0.034369,0.032757,0.033704,0.032783,0.031564,0.031223,0.033904,0.032851,0.031382,0.033485,0.034773,0.032035,0.030969,0.032804,0.031671,0.032447,0.031815,0.031098,0.030330,0.032899,0.030398,0.031526,0.032702,0.034594,0.032914,0.032816,0.034906,0.033441,0.031615,0.031566,0.033595,0.033741,0.032682,0.031451,0.031670,0.032175,0.034467,0.031197,0.031595,0.033100,0.032202,0.032777,0.034861,0.033618,0.032949,0.032135,0.031884,0.032345,0.032973,0.031184,0.032289,0.031983,0.031345,0.030131,0.032166,0.031197,0.035112,0.031090,0.033139,0.032862,0.031057,0.034516,0.032360,0.031669,0.031482,0.031340,0.031539,0.032638,0.033597,0.033772,0.031275,0.033732,0.034368,0.031654,0.033379,0.031791,0.031663,0.033459,0.033185,0.031592
CS F,,m,0.01503,0.01524,0.0159,0.01572,0.01496,0.01503,0.01483,0.01458,0.01464,0.01497,0.01449,0.0148,0.01484,0.0144,0.01556,0.01474,0.0146,0.01496,0.01456,0.01474,0.01493,0.01454,0.0151,0.01459,0.01481,0.01461,0.01508,0.01495,0.01458,0.01446,0.01482,0.01483,0.01485,0.01581,0.01489,0.01475,0.01516,0.01461,0.01519,0.01547,0.01468,0.01481,0.01465,0.01519,0.01552,0.01457,0.01528,0.01586,0.01495,0.01461,0.01481,0.01518,0.01488,0.01456,0.01438,0.01464,0.01486,0.01482,0.01462,0.01448,0.01531,0.01481,0.01462,0.01481,0.01488,0.01576,0.01479,0.01472,0.01488,0.01488,0.01488,0.01515,0.01472,0.01463,0.01484,0.01462,0.01487,0.01481,0.01488,0.01489,0.01554,0.01513,0.01471,0.01484,0.01488,0.01447,0.01492,0.01521,0.01459,0.01551,0.01462,0.01486,0.01468,0.01484,0.01515,0.01478,0.01496,0.01575,0.01496,0.01522,0.01488,0.01472,0.01443,0.01466,0.01463,0.01468,0.01479,0.01495,0.01484,0.01454,0.0145,0.01487,0.01491,0.01488,0.01476,0.01456,0.01513,0.01476,0.01472,0.01476,0.01472,0.01455,0.01595,0.01494,0.01469,0.01472,0.01518,0.01511,0.01564,0.01484,0.01476,0.01476,0.01505,0.01476,0.01481,0.01484,0.01488,0.01521,0.0148,0.01495,0.01486,0.01468,0.0157,0.01473,0.01525,0.01468,0.01521,0.01488,0.0146,0.01485,0.0145,0.01442,0.01472,0.01464,0.01487,0.01472,0.01564,0.01458,0.01487
HT LX,,N/A,0.045233,0.042167,0.041764,0.041701,0.045786,0.042563,0.044616,0.042174,0.044289,0.044887,0.047681,0.041706,0.042115,0.041529,0.062312,0.045852,0.046074,0.041334,0.041790,0.046824,0.043393,0.045099,0.044096,0.045577,0.041447,0.042197,0.040742,0.048585,0.044277,0.044315,0.044204,0.042466,0.040503,0.042270,0.039025,0.045640,0.044394,0.042951,0.041085,0.042471,0.046191,0.044267,0.042890,0.042207,0.040046,0.063300,0.042528,0.043000,0.048966,0.045746,0.043767,0.042823,0.041708,0.050611,0.045240,0.043814,0.043146,0.039403,0.043093,0.045991,0.045870,0.043771,0.044423,0.046016,0.042240,0.042023,0.042625,0.046587,0.041991,0.045241,0.041957,0.041215,0.044671,0.049341,0.044481,0.044940,0.041193,0.043630,0.043056,0.041280,0.041676,0.040730,0.042963,0.046064,0.044935,0.057619,0.042033,0.043563,0.044689,0.042098,0.043810,0.041107,0.041582,0.051912,0.044309,0.042648,0.041809,0.039641,0.045188,0.038739,0.048902,0.043587,0.045690,0.045244,0.047061,0.045870,0.044294,0.044694,0.043651,0.048700,0.053977,0.044786,0.041510,0.047077,0.043636,0.042741,0.042505,0.045494,0.044837,0.043218,0.044617,0.043852,0.039698,0.042985,0.046292,0.045838,0.043591,0.041875,0.052736,0.043628,0.042051,0.043350,0.037074,0.043110,0.043744,0.044076,0.041384,0.041323,0.041856,0.041482,0.041487,0.057668,0.043414,0.042194,0.047640,0.044438,0.041286,0.042429,0.044929,0.043032,0.045171,0.052170,0.042558,0.043390,0.043052,0.043624,0.041320,0.045528,0.042596
ST UX,,N/A,0.042857,0.042460,0.041486,0.040855,0.048790,0.041646,0.065384,0.038374,0.121657,0.044893,0.076890,0.039632,0.051131,0.033535,0.076963,0.045002,0.098413,0.039014,0.046848,0.099117,0.044580,0.056214,0.043917,0.075226,0.036917,0.036061,0.035460,0.112859,0.043820,0.039640,0.208548,0.038559,0.035360,0.041390,0.039570,0.044532,0.044400,0.039003,0.037426,0.046664,0.044011,0.043566,0.039607,0.045710,0.034209,0.095749,0.039948,0.044157,0.173713,0.154793,0.044346,0.039454,0.046021,0.069589,0.050665,0.039604,0.045892,0.032766,0.038129,0.084261,0.046335,0.041838,0.044670,0.044464,0.040425,0.039590,0.039233,0.219476,0.050101,0.045775,0.049392,0.036998,0.044629,0.049215,0.043947,0.042263,0.036876,0.043519,0.040083,0.038454,0.038675,0.033890,0.038378,0.050099,0.046157,0.062664,0.036922,0.043641,0.044173,0.039652,0.040446,0.043702,0.040377,0.052037,0.043072,0.048687,0.036095,0.041196,0.044311,0.040455,0.055301,0.041579,0.048295,0.044193,0.046211,0.044842,0.039339,0.042423,0.041217,0.075002,0.068117,0.042956,0.043467,0.107879,0.041147,0.037449,0.039029,0.043062,0.045733,0.043019,0.045182,0.038806,0.035754,0.042388,0.048036,0.099375,0.042363,0.037531,0.056206,0.043244,0.049719,0.078041,0.041735,0.044716,0.112462,0.043785,0.037527,0.035936,0.036646,0.037284,0.039221,0.089246,0.043029,0.044016,0.050352,0.114265,0.038012,0.041208,0.042720,0.044509,0.051509,0.063629,0.047466,0.039590,0.039827,0.082907,0.039740,0.042003,0.047612
HT UX,,N/A,0.024026,0.035963,0.041765,0.030287,0.030734,0.035699,0.031207,0.024602,0.027947,0.030959,0.026744,0.038091,0.027655,0.022041,0.046444,0.033079,0.028165,0.034384,0.025926,0.030145,0.028237,0.027310,0.034193,0.028343,0.039110,0.024604,0.026997,0.040342,0.028415,0.025386,0.032809,0.026531,0.026688,0.031553,0.031569,0.038840,0.030116,0.024999,0.026992,0.031651,0.026333,0.034391,0.026553,0.030613,0.026523,0.026846,0.030865,0.030019,0.047117,0.028465,0.031020,0.029353,0.027616,0.027786,0.024687,0.025462,0.030253,0.023415,0.025215,0.026478,0.033457,0.029154,0.028899,0.036659,0.027955,0.031700,0.027236,0.031818,0.027470,0.027822,0.027403,0.040622,0.029462,0.026545,0.027926,0.027782,0.026193,0.029536,0.028031,0.026632,0.029333,0.026080,0.026318,0.030716,0.028460,0.025785,0.027139,0.028397,0.029009,0.031366,0.026032,0.029808,0.032001,0.032797,0.037530,0.028644,0.036875,0.034164,0.037798,0.031270,0.030765,0.027027,0.025641,0.025142,0.027738,0.032754,0.040255,0.035300,0.033738,0.027533,0.025667,0.035470,0.032039,0.043840,0.027544,0.024032,0.036998,0.026865,0.030090,0.026551,0.029737,0.024668,0.027041,0.036053,0.029459,0.030626,0.031371,0.027484,0.031782,0.029788,0.026839,0.028252,0.029603,0.029246,0.029001,0.031561,0.035734,0.026914,0.023946,0.036879,0.027143,0.029394,0.040791,0.026458,0.031179,0.028874,0.026279,0.029167,0.024720,0.030206,0.026950,0.024972,0.026505,0.025862,0.026624,0.028354,0.029034,0.026146,0.030204
HT Angle,,deg,69.7423,75.48041,74.56247,73.2909,73.26684,75.90126,71.4262,70.46184,67.47275,72.44738,68.84802,78.38655,69.46653,68.88581,75.09713,75.0183,69.02196,77.41422,67.42197,69.02379,70.27702,68.21013,74.04773,67.97054,79.37123,70.07042,74.59174,71.16698,69.95088,67.67776,66.5966,71.56677,73.70145,73.38866,76.86554,76.2009,72.09938,67.43398,72.61143,72.64809,68.95007,76.75359,70.62372,71.92244,74.87115,68.65902,74.8065,73.36628,69.43103,66.72624,72.76669,74.29735,69.78904,69.17964,66.56928,70.26138,71.63308,71.25417,70.26031,66.86764,72.77341,72.22301,71.42036,75.17552,71.44639,74.4486,71.05718,65.3586,69.56627,70.95428,69.57499,76.96373,70.9047,69.45098,71.33161,69.91236,71.9192,70.91468,73.69466,71.58861,74.75793,74.67631,71.2539,73.85186,69.71363,67.58648,73.59929,71.76454,70.46109,75.94503,67.47558,71.68449,77.35716,71.81663,74.72645,70.27198,77.76037,74.02775,74.5523,75.6208,72.34826,68.98274,67.58705,69.57107,69.46105,74.10908,78.11624,74.5647,75.52115,67.39753,68.66258,74.9958,75.44085,71.14352,71.51893,69.93066,75.27318,69.308,71.85187,68.4562,71.15134,69.08087,75.1749,75.83738,69.81771,68.80297,73.41533,73.53537,71.65966,71.52714,68.55244,69.45912,72.64466,71.78482,69.39427,75.30329,78.14186,74.13511,69.23382,77.92866,71.88324,69.80859,74.52491,71.13845,72.96159,67.93422,71.8724,72.1265,69.56113,71.69192,67.93404,67.8424,68.03948,70.68589,70.80456,69.53548,73.71452,67.77216,71.47516
HT Length,,m,0.10273,0.20205,0.23348,0.1301,0.12992,0.20722,0.13189,0.10888,0.1178,0.13586,0.12035,0.24659,0.13084,0.10517,0.22563,0.17996,0.1236,0.22554,0.12249,0.13172,0.12723,0.12065,0.19016,0.12386,0.25397,0.11148,0.11683,0.17867,0.13066,0.11267,0.12817,0.11531,0.1087,0.13361,0.22608,0.18887,0.13101,0.10923,0.11795,0.1889,0.1146,0.19608,0.12127,0.17565,0.1125,0.12201,0.13216,0.12537,0.19065,0.12159,0.16689,0.12354,0.12903,0.12479,0.11381,0.11295,0.15759,0.10559,0.11218,0.11919,0.1903,0.12579,0.13294,0.18605,0.12609,0.13404,0.1224,0.13174,0.12952,0.1173,0.12964,0.23005,0.13496,0.11787,0.11736,0.12358,0.11584,0.14363,0.11506,0.12032,0.1227,0.11046,0.11508,0.13088,0.12965,0.11821,0.11526,0.11774,0.13308,0.13525,0.11409,0.16832,0.2386,0.16957,0.18439,0.13516,0.2367,0.20867,0.18005,0.21234,0.1343,0.11944,0.11743,0.11067,0.12407,0.18206,0.22664,0.20289,0.20703,0.12401,0.11614,0.18803,0.20726,0.17834,0.11929,0.10775,0.21199,0.11622,0.13102,0.11778,0.13694,0.11135,0.11245,0.2067,0.1312,0.13205,0.13526,0.11752,0.16544,0.1343,0.12701,0.11786,0.18983,0.1244,0.11885,0.16199,0.23423,0.1137,0.10528,0.23367,0.12277,0.1325,0.18773,0.11022,0.1331,0.12149,0.11236,0.13012,0.11063,0.1657,0.12023,0.11521,0.12161,0.11456,0.11597,0.11812,0.1248,0.115,0.16076
ST Length,,N/A,0.386945,0.542752,0.556383,0.436643,0.446139,0.534676,0.545234,0.324426,0.429444,0.473092,0.377911,0.504977,0.437707,0.249816,0.698119,0.504018,0.433119,0.502171,0.352590,0.473749,0.420370,0.384602,0.551646,0.406893,0.498107,0.297420,0.363380,0.809330,0.409792,0.289686,0.647708,0.338853,0.376389,0.460040,0.495956,0.535066,0.443146,0.264283,0.359017,0.568215,0.302927,0.530210,0.380502,0.506313,0.331884,0.345070,0.464862,0.411913,0.958890,0.437023,0.495767,0.419734,0.418418,0.392313,0.297834,0.308717,0.498147,0.257477,0.311279,0.350669,0.526374,0.442599,0.449351,0.515734,0.409506,0.460047,0.379804,0.506984,0.445018,0.360074,0.445635,0.505783,0.453033,0.327061,0.366397,0.392403,0.349033,0.456373,0.365225,0.364984,0.400675,0.330418,0.341000,0.456933,0.425988,0.299482,0.365617,0.371623,0.429500,0.476293,0.314380,0.483306,0.486359,0.503978,0.538784,0.458595,0.490223,0.535232,0.542826,0.496533,0.463496,0.355829,0.323322,0.281334,0.374825,0.493844,0.508309,0.501720,0.495464,0.377194,0.309936,0.534687,0.522054,0.808866,0.375324,0.281664,0.508556,0.325469,0.477651,0.349270,0.465596,0.279495,0.329097,0.541153,0.430010,0.474767,0.473271,0.372236,0.500207,0.466369,0.401166,0.450671,0.483417,0.462431,0.486913,0.502711,0.499058,0.348571,0.246571,0.501340,0.389246,0.441010,0.538324,0.394133,0.458371,0.448095,0.318186,0.444607,0.279737,0.489832,0.370343,0.295726,0.377031,0.336309,0.338897,0.448544,0.403987,0.303035,0.497978
BB Length,,m,0.06867,0.06789,0.06629,0.06843,0.06746,0.06768,0.06813,0.06829,0.07496,0.06801,0.06856,0.06737,0.07793,0.06903,0.06623,0.06786,0.06899,0.06755,0.07986,0.07167,0.07031,0.07113,0.06767,0.07277,0.06683,0.06875,0.0682,0.06888,0.06935,0.0697,0.08568,0.06833,0.06728,0.06811,0.06819,0.06703,0.0681,0.07129,0.06848,0.06779,0.06853,0.06773,0.06886,0.06838,0.06819,0.06795,0.06786,0.06789,0.07574,0.07645,0.06846,0.06799,0.07541,0.06865,0.07141,0.06845,0.06906,0.06863,0.06854,0.07255,0.06746,0.06806,0.06854,0.06757,0.06889,0.06786,0.06874,0.08599,0.07758,0.06812,0.07671,0.06675,0.06886,0.06838,0.06808,0.06876,0.06845,0.0687,0.06769,0.06877,0.068,0.06804,0.06825,0.06697,0.06924,0.06851,0.06811,0.06794,0.0689,0.0676,0.07133,0.06952,0.06791,0.06756,0.06745,0.0745,0.06671,0.06732,0.06744,0.06827,0.06752,0.07114,0.06962,0.06843,0.06854,0.06785,0.06682,0.06732,0.0676,0.07137,0.0681,0.06765,0.0683,0.06892,0.06819,0.06847,0.0671,0.06864,0.06821,0.07343,0.06887,0.06885,0.06821,0.06781,0.06828,0.07321,0.06793,0.06823,0.06759,0.06871,0.07962,0.07076,0.06978,0.06807,0.0709,0.06799,0.06721,0.06813,0.06958,0.06706,0.06863,0.06833,0.06711,0.06786,0.06746,0.07533,0.06832,0.06862,0.06845,0.06879,0.07098,0.0684,0.07825,0.06834,0.0687,0.07185,0.06841,0.06885,0.0706
Dropout Offset,,N/A,0.136007,0.124257,0.120387,0.126484,0.126627,0.124130,0.130288,0.135834,0.155737,0.127887,0.141000,0.121217,0.129566,0.139187,0.124009,0.127151,0.142912,0.122113,0.131723,0.142835,0.129273,0.147306,0.125560,0.148436,0.120385,0.134496,0.128047,0.131332,0.129450,0.143130,0.167728,0.128650,0.128225,0.125856,0.120708,0.126659,0.127644,0.140273,0.128288,0.123517,0.130043,0.125302,0.130883,0.124245,0.127497,0.130080,0.126506,0.125931,0.143365,0.158157,0.127329,0.127566,0.129565,0.138708,0.152900,0.130497,0.126901,0.129182,0.133176,0.152442,0.125433,0.129230,0.128948,0.126993,0.129001,0.125503,0.129983,0.170174,0.129063,0.127426,0.128573,0.121759,0.128944,0.130253,0.127958,0.135090,0.128954,0.126214,0.127311,0.128936,0.126728,0.127846,0.129754,0.126802,0.128180,0.137538,0.128240,0.126857,0.129481,0.125108,0.130487,0.124684,0.121183,0.128620,0.125586,0.128752,0.121322,0.120902,0.126490,0.121225,0.127217,0.134466,0.147594,0.129773,0.134159,0.126883,0.123763,0.125060,0.124392,0.145196,0.132053,0.126279,0.123597,0.130544,0.129290,0.134558,0.123471,0.129634,0.129735,0.134929,0.129028,0.137017,0.126522,0.124621,0.131611,0.145065,0.127190,0.128044,0.125888,0.128464,0.130749,0.144190,0.121139,0.130035,0.143539,0.126722,0.121552,0.127690,0.129980,0.121686,0.128798,0.132086,0.124051,0.130434,0.125944,0.153624,0.127540,0.128167,0.130723,0.125914,0.147379,0.140838,0.132144,0.131285,0.128916,0.144976,0.127113,0.137071,0.126813
SSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015999,0.000000,0.000000,0.015954,0.000000,0.000000,0.000000,0.000000,0.015946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015742,0.000000,0.000000,0.000000,0.000000,0.015830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
