Design Study 1
Scenarios/Iterations:, 166
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166
CS OD,,N/A,0.030397,0.024872,0.024224,0.023570,0.024295,0.023715,0.023670,0.024052,0.021715,0.025411,0.023339,0.022282,0.039399,0.025314,0.024151,0.022868,0.025028,0.025522,0.023758,0.024532,0.022603,0.022550,0.025874,0.024109,0.022946,0.023039,0.029309,0.029113,0.032109,0.024416,0.023674,0.024748,0.021847,0.025505,0.024265,0.023405,0.023326,0.022502,0.022495,0.025577,0.021818,0.023854,0.024592,0.024543,0.023945,0.022624,0.023589,0.024097,0.024974,0.024910,0.024205,0.022554,0.023946,0.023980,0.023413,0.037265,0.023136,0.041006,0.025514,0.025687,0.022085,0.023795,0.022305,0.023183,0.024009,0.023832,0.024030,0.023414,0.037360,0.053238,0.024111,0.024835,0.025115,0.025724,0.024360,0.023068,0.042220,0.023237,0.024043,0.023133,0.024735,0.025445,0.025125,0.023929,0.021646,0.023292,0.022768,0.024915,0.022298,0.025359,0.024269,0.022861,0.031170,0.023187,0.023281,0.023508,0.037772,0.023273,0.023468,0.023112,0.022425,0.021898,0.030094,0.022994,0.022750,0.023786,0.024509,0.016546,0.023197,0.050013,0.023609,0.023930,0.021540,0.022865,0.023853,0.023112,0.022564,0.023923,0.023504,0.024325,0.025056,0.017702,0.023068,0.023306,0.024462,0.022006,0.023027,0.023684,0.022796,0.023632,0.025573,0.027531,0.019885,0.022956,0.024031,0.021184,0.024254,0.024659,0.024216,0.024961,0.024643,0.022561,0.023400,0.025872,0.018150,0.024358,0.020543,0.023639,0.024005,0.022542,0.022626,0.037910,0.047692,0.022565,0.022925,0.023372,0.022943,0.023021,0.022885,0.023420,0.033702,0.022310,0.035695,0.023021,0.023941,0.023281,0.022426
SS OD,,N/A,0.023139,0.012791,0.013371,0.021153,0.014349,0.018964,0.015681,0.014441,0.019184,0.013017,0.012797,0.012729,0.013900,0.016758,0.012618,0.012833,0.012096,0.014320,0.014265,0.013124,0.013658,0.011887,0.012756,0.011634,0.013540,0.015142,0.012853,0.012270,0.012863,0.012652,0.012018,0.015026,0.013740,0.012519,0.018700,0.013846,0.011685,0.012323,0.014037,0.013117,0.012526,0.012896,0.014227,0.012964,0.014002,0.012355,0.014316,0.013564,0.013516,0.016016,0.013996,0.015527,0.012235,0.017083,0.011587,0.014122,0.013565,0.013695,0.014055,0.012372,0.012272,0.013399,0.012946,0.011721,0.013056,0.011273,0.015826,0.014441,0.014686,0.013396,0.012088,0.014585,0.011739,0.012855,0.012682,0.018610,0.012917,0.012574,0.013789,0.011974,0.015373,0.016772,0.013014,0.011430,0.012927,0.016799,0.013189,0.015280,0.011079,0.013338,0.014117,0.015166,0.012353,0.012410,0.011055,0.013987,0.015338,0.011909,0.024168,0.012389,0.011677,0.012159,0.020786,0.013097,0.014364,0.015045,0.013830,0.012030,0.012570,0.020573,0.012341,0.011654,0.012687,0.012211,0.013738,0.011031,0.014486,0.010811,0.012469,0.013536,0.012940,0.012987,0.013673,0.012578,0.014005,0.012361,0.011888,0.013173,0.011731,0.014569,0.014367,0.019234,0.010713,0.011953,0.013643,0.012147,0.014283,0.014090,0.020013,0.012387,0.012624,0.010835,0.012624,0.013519,0.011580,0.013544,0.012924,0.011851,0.012249,0.011999,0.012721,0.017937,0.013284,0.011928,0.011864,0.010952,0.014785,0.011649,0.012469,0.011636,0.013843,0.013189,0.014025,0.013623,0.012045,0.014075,0.013877
ST OD,,N/A,0.046588,0.030754,0.032278,0.030438,0.032806,0.032571,0.030390,0.037616,0.033121,0.030090,0.029411,0.031455,0.031726,0.050927,0.031301,0.031081,0.029522,0.030127,0.035161,0.031738,0.031869,0.028048,0.031266,0.028705,0.030205,0.033363,0.039538,0.030006,0.032793,0.033410,0.029189,0.032760,0.029571,0.029959,0.032234,0.033675,0.029497,0.029395,0.031700,0.030659,0.029798,0.030592,0.028889,0.030754,0.033334,0.032621,0.027698,0.030337,0.030423,0.030524,0.033974,0.029948,0.032114,0.033210,0.029905,0.031933,0.030050,0.028633,0.031410,0.039067,0.031816,0.032158,0.032599,0.029551,0.028944,0.031771,0.029779,0.033443,0.030549,0.045092,0.030960,0.031353,0.029168,0.031073,0.032238,0.055613,0.032352,0.031562,0.032783,0.031989,0.030846,0.032166,0.031596,0.030710,0.030332,0.029069,0.031740,0.030381,0.031687,0.032203,0.032950,0.030200,0.046052,0.033379,0.031688,0.032016,0.031728,0.027069,0.029951,0.028764,0.031917,0.030675,0.030205,0.030706,0.031848,0.030571,0.031359,0.030803,0.046183,0.031778,0.032804,0.032651,0.032144,0.032259,0.030879,0.029487,0.031534,0.029200,0.031203,0.031198,0.031648,0.029727,0.031306,0.031179,0.032068,0.031973,0.029448,0.030138,0.030879,0.031460,0.031318,0.028633,0.031127,0.027874,0.031102,0.029818,0.031815,0.029864,0.033114,0.033580,0.030590,0.029994,0.029920,0.033224,0.030579,0.033648,0.034039,0.031312,0.029847,0.033346,0.030941,0.032690,0.057211,0.033735,0.032061,0.031589,0.030934,0.032467,0.029366,0.032020,0.028538,0.028627,0.031865,0.029233,0.038251,0.031375,0.030359
CS F,,m,0.02205,0.0144,0.01549,0.01557,0.01499,0.0154,0.01532,0.01496,0.01591,0.0147,0.01514,0.01533,0.01482,0.0157,0.01498,0.01508,0.01531,0.01496,0.01499,0.01484,0.01515,0.015,0.01506,0.01475,0.01562,0.01501,0.01463,0.01507,0.01499,0.01544,0.01549,0.01529,0.01566,0.01514,0.01513,0.01512,0.0158,0.01476,0.01493,0.01469,0.01478,0.01523,0.01457,0.01494,0.0157,0.01509,0.01529,0.01528,0.01545,0.01474,0.01541,0.01529,0.01525,0.01585,0.01572,0.01533,0.0152,0.01455,0.01502,0.01501,0.01588,0.01563,0.01528,0.01533,0.01474,0.007788,0.01537,0.0149,0.01477,0.01536,0.01569,0.01506,0.01447,0.0146,0.007162,0.01515,0.01484,0.01551,0.01485,0.01503,0.01569,0.0151,0.0147,0.01565,0.01479,0.01587,0.01533,0.01522,0.01522,0.0146,0.01545,0.01506,0.01561,0.01533,0.01563,0.01518,0.01544,0.01487,0.01522,0.01532,0.01554,0.01553,0.01597,0.01551,0.0154,0.01511,0.01508,0.0153,0.01536,0.01567,0.01503,0.01501,0.01584,0.01523,0.015,0.01427,0.01479,0.01546,0.01477,0.01507,0.01478,0.01479,0.01516,0.01551,0.0148,0.01518,0.01477,0.01511,0.01437,0.01538,0.0152,0.01491,0.01544,0.01501,0.01453,0.0146,0.01487,0.01477,0.01625,0.01536,0.01481,0.01462,0.01539,0.01535,0.01468,0.01573,0.01555,0.01497,0.01532,0.01454,0.007282,0.01495,0.01564,0.01579,0.01544,0.01473,0.01502,0.01559,0.01469,0.0155,0.01505,0.01481,0.01523,0.01498,0.01486,0.01536,0.01589
HT LX,,N/A,0.057276,0.052972,0.048272,0.055931,0.037530,0.062562,0.041721,0.048032,0.040055,0.067594,0.043204,0.042754,0.036797,0.063959,0.038925,0.047666,0.037457,0.051232,0.047615,0.049067,0.040481,0.034436,0.038266,0.049128,0.047772,0.038942,0.042700,0.066194,0.042675,0.066145,0.033279,0.050020,0.038042,0.081675,0.060629,0.070589,0.050338,0.050298,0.069616,0.047143,0.049883,0.052551,0.040248,0.050655,0.047314,0.056590,0.050026,0.059555,0.051224,0.047462,0.052702,0.048149,0.058111,0.039245,0.047135,0.050164,0.045896,0.052732,0.052396,0.049567,0.054332,0.044097,0.050329,0.043308,0.039252,0.034776,0.070434,0.059442,0.051213,0.041268,0.055471,0.042304,0.039318,0.041123,0.053291,0.054285,0.050653,0.049549,0.052495,0.044542,0.048048,0.036663,0.055174,0.039751,0.038163,0.052300,0.061491,0.051065,0.055001,0.035717,0.050575,0.046804,0.037535,0.049610,0.054356,0.034988,0.051053,0.045054,0.045477,0.056028,0.062204,0.063520,0.039544,0.035081,0.050631,0.047391,0.036725,0.048082,0.040888,0.046082,0.047790,0.040830,0.068591,0.036321,0.049957,0.038303,0.049277,0.046661,0.055550,0.040125,0.050878,0.045597,0.044367,0.054516,0.033560,0.069707,0.040589,0.047096,0.053521,0.048471,0.057506,0.060522,0.039044,0.036468,0.038582,0.049846,0.046807,0.054217,0.056851,0.038853,0.049744,0.052098,0.044663,0.040677,0.042095,0.045452,0.068024,0.042527,0.042377,0.071820,0.072398,0.057025,0.053809,0.077971,0.045718,0.042534,0.049672,0.062159,0.046546,0.051361,0.039839,0.037768,0.051840,0.036262,0.051049,0.049970,0.051511
ST UX,,N/A,0.035929,0.052882,0.020229,0.046292,0.040782,0.028914,0.019421,0.040981,0.036114,0.063267,0.043960,0.051932,0.017833,0.057950,0.081219,0.027149,0.053819,0.045697,0.048023,0.018876,0.045062,0.028946,0.044947,0.055219,0.046149,0.025759,0.127641,0.044302,0.021313,0.045737,0.021294,0.049244,0.060299,0.050635,0.050462,0.030441,0.049925,0.159024,0.012968,0.044352,0.013794,0.045140,0.196866,0.050053,0.040478,0.053514,0.025656,0.032000,0.030016,0.050585,0.029527,0.048831,0.058818,0.051681,0.018157,0.126126,0.079506,0.017105,0.048278,0.023644,0.036555,0.032362,0.158595,0.188039,0.033071,0.027169,0.052278,0.046959,0.036771,0.009095,0.046862,0.046120,0.016999,0.113686,0.040781,0.033445,0.019256,0.044220,0.058816,0.048467,0.045392,0.010646,0.136349,0.049516,0.110402,0.032783,0.037783,0.060366,0.051777,0.047774,0.047882,0.031138,0.084791,0.046158,0.053767,0.028665,0.026895,0.040350,0.053567,0.041209,0.051066,0.062584,0.045554,0.017018,0.054781,0.050538,0.045363,0.023629,0.046225,0.017484,0.024925,0.050026,0.059407,0.037941,0.051971,0.023298,0.115624,0.025628,0.047315,0.020608,0.023465,0.048617,0.030236,0.048139,0.030407,0.050410,0.021998,0.044811,0.051979,0.049123,0.043677,0.040284,0.023209,0.013070,0.019566,0.048897,0.059571,0.048859,0.047325,0.045681,0.042506,0.051816,0.056256,0.047700,0.046413,0.051984,0.051065,0.051407,0.037651,0.047422,0.039222,0.048133,0.087536,0.054412,0.048529,0.050227,0.327190,0.046851,0.020162,0.050111,0.023961,0.045947,0.020900,0.013320,0.047585,0.046691,0.049031
HT UX,,N/A,0.044683,0.032223,0.029371,0.029428,0.028728,0.033560,0.034713,0.031798,0.032894,0.036384,0.029813,0.029964,0.031459,0.035864,0.026565,0.031519,0.032426,0.034822,0.031348,0.028766,0.035695,0.033312,0.029160,0.032440,0.026480,0.031317,0.031057,0.040563,0.014763,0.028642,0.027477,0.030562,0.024026,0.035582,0.034587,0.038077,0.029312,0.036558,0.034371,0.031593,0.031394,0.037153,0.030657,0.035367,0.033268,0.028807,0.034781,0.034916,0.037208,0.034638,0.027495,0.025907,0.032998,0.026323,0.031834,0.030380,0.031584,0.027566,0.031606,0.030743,0.032608,0.029613,0.017591,0.013183,0.031464,0.022007,0.037708,0.036732,0.029698,0.029931,0.030586,0.033021,0.030858,0.031761,0.040303,0.041610,0.023096,0.033168,0.028349,0.025137,0.026697,0.027548,0.026440,0.036207,0.022727,0.035887,0.037268,0.030544,0.042503,0.040009,0.028665,0.028429,0.035953,0.025426,0.033906,0.017948,0.034235,0.029609,0.029183,0.027871,0.025861,0.038621,0.027159,0.034595,0.032942,0.039135,0.033449,0.022240,0.039451,0.033414,0.028895,0.025867,0.042224,0.028143,0.034565,0.032993,0.039073,0.029527,0.039175,0.033809,0.027728,0.031315,0.032038,0.032402,0.031738,0.032145,0.029304,0.036431,0.030509,0.032632,0.041311,0.030539,0.018821,0.031191,0.029163,0.029751,0.029787,0.030165,0.037208,0.026484,0.034635,0.029750,0.025270,0.028554,0.032453,0.032014,0.028197,0.034289,0.034701,0.031533,0.035070,0.030257,0.025064,0.027599,0.024949,0.024969,0.031696,0.028964,0.036888,0.026712,0.029164,0.038518,0.030354,0.039602,0.026754,0.041136,0.036620
HT Angle,,deg,67.81413,73.04195,69.42485,70.532,70.47204,76.19299,80.58356,77.75796,72.49748,76.16091,62.48003,72.4441,74.2386,72.948,76.49459,73.01943,78.95654,73.1037,70.02841,73.12739,73.0931,71.59214,76.73325,72.22542,70.99967,69.87779,74.38928,73.02019,73.06473,73.06667,71.8908,71.35055,69.67251,73.16135,76.37522,77.66143,73.06128,72.38377,73.01986,77.07531,77.4097,72.31609,65.31475,78.30302,73.13883,72.92941,79.16035,72.72816,77.58663,66.63236,73.03496,68.24138,75.00919,72.45623,74.91644,73.06347,66.36355,71.17585,73.02874,76.2609,72.04652,72.30999,74.07212,72.33545,72.52331,72.21767,67.6484,66.82957,77.12944,73.07579,73.14838,71.18589,73.17309,78.30698,72.34649,73.02571,73.03549,73.05078,70.7385,72.30246,71.89036,67.02066,73.16986,75.41105,70.62082,72.37444,73.09688,68.33774,73.0811,73.02166,68.10652,69.85387,72.95267,72.33774,73.01638,71.9083,67.80137,72.36368,71.77445,71.4433,73.13498,72.05413,71.81944,73.00515,74.41633,78.13865,77.44322,71.49783,76.85535,66.98764,73.9939,73.07156,79.11267,72.52942,72.47298,72.33224,68.66723,72.65923,73.12966,74.16532,72.32694,73.60599,72.39057,73.03836,72.61767,72.91293,70.49076,72.45765,72.06272,71.83245,73.26289,73.99394,72.1665,74.6174,73.0912,73.08693,68.01513,73.0457,73.1614,74.78636,70.82576,73.11276,71.66049,77.19964,73.12394,70.79923,72.21241,73.09731,71.70728,74.47022,73.12511,72.93036,72.99289,72.97521,72.69193,72.99104,74.68679,73.11121,77.199,76.79248,66.93211,72.26721,73.40809,71.83363,76.96926,72.23736,76.89638
HT Length,,m,0.10363,0.17951,0.09853,0.12201,0.10797,0.12978,0.12235,0.12675,0.22401,0.32119,0.12025,0.12969,0.15546,0.1404,0.11887,0.14365,0.08464,0.1453,0.24103,0.14553,0.14736,0.11959,0.12205,0.11388,0.12499,0.11597,0.12407,0.12094,0.09948,0.17565,0.10165,0.10854,0.12661,0.15115,0.09378,0.23885,0.12849,0.18467,0.16194,0.10666,0.12535,0.11452,0.11717,0.14389,0.1126,0.14061,0.10324,0.1213,0.10952,0.12856,0.10241,0.1091,0.10592,0.14285,0.12573,0.11019,0.12898,0.13227,0.10977,0.12391,0.12735,0.11705,0.11548,0.11586,0.11668,0.09831,0.1182,0.11498,0.08635,0.10817,0.10821,0.12025,0.09284,0.16767,0.15513,0.14092,0.14143,0.14816,0.13324,0.09822,0.13182,0.11543,0.16766,0.14396,0.09912,0.12001,0.14282,0.13438,0.14278,0.12726,0.11201,0.15792,0.14674,0.14617,0.13291,0.09748,0.13221,0.08304,0.10981,0.12715,0.1118,0.14223,0.09861,0.14683,0.14429,0.12529,0.1509,0.1211,0.15405,0.11604,0.1027,0.10588,0.14943,0.10821,0.11946,0.09956,0.11469,0.0948,0.13951,0.11765,0.12746,0.13213,0.13992,0.27252,0.14308,0.1508,0.10331,0.1243,0.14886,0.12364,0.11303,0.10168,0.09122,0.10311,0.193,0.24889,0.10713,0.0914,0.17711,0.1318,0.09563,0.11966,0.10103,0.17431,0.09361,0.18313,0.16899,0.11512,0.14115,0.15464,0.13903,0.12285,0.1409,0.10748,0.17966,0.09558,0.16226,0.14618,0.16798,0.10944,0.10703,0.1265,0.24008,0.16078,0.20588,0.1149,0.14113
ST Length,,N/A,0.352980,0.563425,0.556692,0.534361,0.287896,0.675200,0.346924,0.598451,0.569206,0.567275,0.544771,0.520959,0.425158,0.459136,0.327200,0.575540,0.553886,0.588369,0.622079,0.581378,0.539796,0.552498,0.589832,0.543177,0.502007,0.311223,0.610240,0.583425,0.506136,0.577163,0.588159,0.441914,0.504759,0.509237,0.564425,0.578018,0.518841,0.570773,0.621500,0.506464,0.545023,0.567343,0.264873,0.546234,0.515744,0.561364,0.269650,0.515554,0.574446,0.471551,0.505589,0.299441,0.578012,0.521541,0.672480,0.636367,0.504048,0.226264,0.465290,0.589496,0.546824,0.582368,0.567786,0.485886,0.564556,0.645042,0.285436,0.561693,0.240669,0.601118,0.607375,0.569249,0.561732,0.577669,0.603694,0.650747,0.635880,0.518572,0.454358,0.474963,0.488242,0.540970,0.565406,0.558442,0.531297,0.349928,0.594174,0.289394,0.530738,0.516246,0.562834,0.231042,0.514426,0.610411,0.518857,0.465817,0.375208,0.532951,0.333464,0.311637,0.528462,0.524799,0.313204,0.569025,0.537260,0.562799,0.624172,0.455853,0.612217,0.609291,0.579586,0.595607,0.635891,0.524524,0.295226,0.570530,0.318688,0.519640,0.601464,0.594983,0.478269,0.549012,0.620648,0.552184,0.629196,0.522337,0.240178,0.505898,0.553900,0.346082,0.553101,0.617071,0.617347,0.577033,0.595733,0.558131,0.436275,0.534567,0.547637,0.583233,0.540104,0.555385,0.304199,0.561775,0.547762,0.485101,0.511639,0.467518,0.558320,0.599675,0.565166,0.479475,0.622342,0.662345,0.759732,0.539943,0.615449,0.592521,0.571174,0.506741,0.283400,0.589937,0.552140,0.563224,0.569411,0.595935,0.660511
BB Length,,m,0.06807,0.06774,0.06765,0.06736,0.06821,0.06736,0.06691,0.06734,0.06779,0.06733,0.07252,0.06717,0.06708,0.0887,0.06771,0.06741,0.06737,0.06735,0.06771,0.06781,0.06756,0.06755,0.06851,0.06734,0.06787,0.06742,0.068,0.06866,0.06743,0.06777,0.06791,0.06773,0.07208,0.06682,0.06754,0.06742,0.06748,0.06723,0.06777,0.06733,0.06735,0.06721,0.08754,0.06759,0.06717,0.06734,0.06738,0.06831,0.06798,0.06698,0.06785,0.07178,0.06812,0.0679,0.06784,0.0679,0.06734,0.06826,0.06699,0.06748,0.0679,0.09658,0.06759,0.07175,0.06752,0.06873,0.0725,0.0835,0.07207,0.06757,0.06862,0.06724,0.06723,0.06768,0.06806,0.06831,0.06748,0.06737,0.06759,0.06736,0.07221,0.06732,0.06721,0.06802,0.06714,0.06776,0.06807,0.06686,0.06792,0.06772,0.06801,0.0674,0.06758,0.06781,0.06817,0.07272,0.09645,0.06852,0.07286,0.06759,0.06806,0.068,0.06713,0.06813,0.06815,0.06744,0.06841,0.06799,0.06797,0.06709,0.06721,0.06793,0.06709,0.06745,0.06743,0.06732,0.06722,0.06845,0.068,0.0683,0.06722,0.06837,0.06735,0.06774,0.06765,0.06791,0.06853,0.06711,0.06781,0.06784,0.06779,0.06832,0.06785,0.06751,0.06752,0.06757,0.06794,0.06834,0.06803,0.06724,0.06784,0.06745,0.06811,0.0681,0.06789,0.06856,0.06822,0.06759,0.06827,0.06787,0.06867,0.06795,0.06798,0.06852,0.06824,0.06863,0.06805,0.06767,0.06805,0.06779,0.06765,0.06791,0.06716,0.06874,0.06789,0.06851,0.06814
Dropout Offset,,N/A,0.130021,0.130277,0.130227,0.134457,0.130237,0.120312,0.129914,0.120159,0.130322,0.119955,0.129818,0.130109,0.130219,0.130547,0.129950,0.130208,0.129791,0.130383,0.129884,0.129881,0.130236,0.129927,0.119740,0.130316,0.129861,0.130059,0.130524,0.130217,0.130972,0.130303,0.130045,0.130190,0.142222,0.130337,0.135001,0.129732,0.130536,0.130617,0.130318,0.130344,0.130368,0.142113,0.130240,0.130149,0.130115,0.130651,0.119715,0.120090,0.129569,0.130263,0.130275,0.134402,0.130093,0.129605,0.129965,0.130546,0.129904,0.129794,0.130373,0.130068,0.130195,0.129462,0.129982,0.130681,0.119746,0.130467,0.130321,0.130331,0.130186,0.130192,0.129724,0.135136,0.130462,0.120172,0.130391,0.129978,0.130411,0.130569,0.129857,0.130052,0.141959,0.130256,0.130011,0.119897,0.119739,0.129920,0.130225,0.135213,0.129888,0.130444,0.130642,0.130130,0.130093,0.130456,0.130867,0.130121,0.130323,0.130069,0.129490,0.135572,0.130336,0.129598,0.129837,0.130055,0.130173,0.130238,0.130180,0.130348,0.120169,0.130608,0.130128,0.135446,0.130533,0.130096,0.134327,0.130598,0.130068,0.130498,0.130637,0.130452,0.130176,0.129953,0.130010,0.130599,0.129667,0.130398,0.130465,0.129817,0.130383,0.129896,0.119909,0.130381,0.130706,0.130117,0.130169,0.129936,0.129768,0.120443,0.129890,0.120028,0.129996,0.129923,0.135110,0.120305,0.120433,0.142156,0.142097,0.130572,0.130511,0.130039,0.130550,0.130480,0.130115,0.130057,0.129794,0.130186,0.130116,0.130301,0.130378,0.130244,0.120029,0.130074,0.130379,0.129926,0.130107,0.130160,0.130129
SSB OD,,N/A,0.015832,0.015613,0.000000,0.015601,0.000000,0.000000,0.000000,0.015654,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015744,0.016344,0.016128,0.015974,0.015507,0.000000,0.000000,0.016082,0.016487,0.000000,0.000000,0.000000,0.015519,0.015964,0.016221,0.000000,0.015957,0.000000,0.000000,0.016357,0.016136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016069,0.016035,0.000000,0.000000,0.000000,0.016643,0.000000,0.016193,0.015627,0.000000,0.000000,0.015599,0.000000,0.016279,0.015863,0.000000,0.015305,0.000000,0.000000,0.015664,0.014776,0.000000,0.000000,0.000000,0.000000,0.014454,0.015644,0.000000,0.016266,0.015032,0.000000,0.015663,0.016253,0.000000,0.000000,0.000000,0.000000,0.000000,0.015680,0.016326,0.000000,0.000000,0.000000,0.015802,0.016144,0.016712,0.016048,0.000000,0.015584,0.000000,0.000000,0.000000,0.014875,0.000000,0.000000,0.015888,0.015678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016079,0.015994,0.000000,0.000000,0.015323,0.000000,0.015284,0.015489,0.000000,0.000000,0.016356,0.015388,0.015213,0.015876,0.015682,0.000000,0.000000,0.016221,0.015755,0.015527,0.000000,0.015122,0.000000,0.000000,0.016079,0.015931,0.016468,0.015404,0.015870,0.000000,0.015749,0.015102,0.015988,0.000000,0.015759,0.016385,0.016369,0.000000,0.015728,0.015332,0.000000,0.015364,0.014968,0.015381,0.016235,0.000000,0.000000,0.000000,0.016201,0.015712,0.000000,0.015519,0.000000,0.000000,0.015563,0.000000
CSB OD,,N/A,0.017739,0.000000,0.017455,0.000000,0.000000,0.000000,0.000000,0.017820,0.000000,0.017958,0.000000,0.000000,0.000000,0.000000,0.000000,0.017968,0.017690,0.017657,0.017463,0.017987,0.000000,0.000000,0.017722,0.017988,0.000000,0.000000,0.000000,0.017912,0.017844,0.017735,0.000000,0.017844,0.000000,0.000000,0.000000,0.017924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017753,0.000000,0.000000,0.000000,0.000000,0.017829,0.000000,0.017829,0.017776,0.000000,0.000000,0.018124,0.000000,0.017572,0.018073,0.000000,0.017679,0.000000,0.018502,0.018077,0.017221,0.000000,0.000000,0.000000,0.000000,0.000000,0.017414,0.000000,0.018002,0.017067,0.000000,0.017667,0.000000,0.000000,0.000000,0.017597,0.017600,0.000000,0.017688,0.018650,0.000000,0.000000,0.000000,0.018110,0.018122,0.017278,0.017559,0.000000,0.000000,0.000000,0.000000,0.000000,0.017442,0.017644,0.000000,0.018318,0.000000,0.000000,0.017700,0.000000,0.000000,0.000000,0.018531,0.000000,0.000000,0.017173,0.018340,0.017795,0.018078,0.000000,0.000000,0.000000,0.017945,0.000000,0.000000,0.000000,0.017846,0.017345,0.000000,0.017951,0.000000,0.000000,0.017769,0.017086,0.000000,0.017434,0.000000,0.017952,0.000000,0.000000,0.017895,0.017864,0.017753,0.017736,0.017674,0.000000,0.017752,0.017216,0.018086,0.000000,0.017840,0.017837,0.017898,0.000000,0.017201,0.017269,0.000000,0.017423,0.017741,0.000000,0.017478,0.000000,0.017667,0.000000,0.017717,0.017596,0.000000,0.017624,0.000000,0.000000,0.017654,0.017345
