Design Study 1
Scenarios/Iterations:, 128
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128
CS OD,,N/A,0.030397,0.036208,0.023319,0.024595,0.022641,0.023970,0.023145,0.024150,0.020737,0.020539,0.024571,0.022212,0.021074,0.023565,0.023762,0.024307,0.024630,0.023202,0.023007,0.025021,0.024032,0.025725,0.022226,0.022129,0.023486,0.020915,0.020063,0.023440,0.021012,0.021570,0.023225,0.023712,0.016766,0.023139,0.022513,0.049884,0.022957,0.022751,0.021557,0.026768,0.022894,0.023885,0.023098,0.023724,0.020976,0.024435,0.021172,0.024450,0.023384,0.023901,0.025402,0.021399,0.020262,0.022506,0.024742,0.024298,0.021149,0.023759,0.022704,0.023937,0.022593,0.015248,0.024119,0.017132,0.022632,0.023824,0.024055,0.024796,0.021161,0.024963,0.020761,0.023643,0.025014,0.024277,0.025677,0.021752,0.023539,0.023377,0.026577,0.030400,0.022783,0.022120,0.021974,0.021536,0.024258,0.022624,0.042430,0.025719,0.022319,0.025449,0.019896,0.020369,0.023337,0.025083,0.022712,0.023243,0.022582,0.021364,0.027390,0.022026,0.023216,0.022515,0.023537,0.022820,0.021380,0.023279,0.023343,0.021471,0.035360,0.022317,0.019670,0.024938,0.021040,0.042647,0.022622,0.023080,0.021813,0.026786,0.023694,0.025494,0.024514,0.019177,0.033973,0.024182,0.024775,0.021049,0.021996,0.022085,0.025241
SS OD,,N/A,0.023139,0.026332,0.021725,0.014497,0.010910,0.014227,0.014148,0.013724,0.012352,0.011720,0.017039,0.013270,0.015604,0.013948,0.012737,0.013758,0.013030,0.014848,0.012785,0.013364,0.018194,0.014092,0.011861,0.011701,0.013324,0.011699,0.011001,0.011808,0.011034,0.012269,0.010189,0.012378,0.012418,0.013352,0.014597,0.029114,0.012281,0.014009,0.011707,0.016146,0.015264,0.014911,0.013462,0.011187,0.012000,0.011184,0.013616,0.014335,0.012975,0.012688,0.012072,0.011506,0.013657,0.011832,0.019687,0.010058,0.010926,0.011063,0.012447,0.013090,0.012452,0.011941,0.013991,0.011898,0.015881,0.012705,0.015447,0.017129,0.013665,0.014842,0.010814,0.017166,0.020251,0.013106,0.013934,0.013776,0.013071,0.010207,0.014319,0.012795,0.012014,0.013750,0.012030,0.012252,0.013893,0.013967,0.012596,0.014232,0.012112,0.012952,0.015920,0.017165,0.013812,0.012578,0.021057,0.014466,0.012321,0.013720,0.013535,0.009809,0.011441,0.013245,0.014104,0.014244,0.011895,0.013816,0.012744,0.013313,0.015993,0.016811,0.025670,0.014982,0.011287,0.031160,0.013808,0.012701,0.012926,0.013809,0.018394,0.013713,0.013256,0.012033,0.015912,0.012644,0.014923,0.013976,0.012851,0.015607,0.013772
ST OD,,N/A,0.046588,0.048570,0.031911,0.029009,0.032125,0.032186,0.030567,0.031508,0.030519,0.027270,0.031015,0.028129,0.029075,0.033325,0.031049,0.031660,0.031900,0.031388,0.031434,0.031447,0.034825,0.031691,0.028442,0.030247,0.032014,0.029504,0.028339,0.031656,0.031639,0.032311,0.032348,0.032065,0.027906,0.032175,0.030291,0.037538,0.031722,0.031714,0.030416,0.031296,0.032676,0.029237,0.038502,0.031925,0.030115,0.028005,0.031436,0.032266,0.031920,0.031518,0.031826,0.029889,0.027830,0.028508,0.039705,0.031804,0.031776,0.032051,0.031552,0.031498,0.026319,0.027878,0.031618,0.027363,0.032763,0.031268,0.032057,0.030754,0.032558,0.028885,0.028900,0.033168,0.033008,0.046415,0.031241,0.027687,0.031500,0.033006,0.032330,0.032873,0.033434,0.032053,0.033530,0.029118,0.031079,0.028938,0.033061,0.030607,0.030774,0.031913,0.029966,0.030050,0.029324,0.030419,0.029454,0.029944,0.030715,0.029413,0.031589,0.027009,0.031528,0.032897,0.031881,0.031091,0.029392,0.031889,0.033127,0.031983,0.031161,0.033046,0.029843,0.031678,0.031776,0.031510,0.031861,0.030223,0.031466,0.031775,0.031440,0.031990,0.026424,0.026932,0.032832,0.031830,0.032534,0.032155,0.031738,0.032094,0.032666
CS F,,m,0.02205,0.0149,0.01495,0.015,0.01499,0.01499,0.01492,0.01496,0.015,0.015,0.01496,0.01505,0.01498,0.01496,0.01502,0.01499,0.01499,0.01497,0.01503,0.01495,0.01494,0.01502,0.01502,0.01491,0.01507,0.01499,0.01507,0.015,0.01495,0.01461,0.01498,0.01499,0.008485,0.01505,0.01503,0.02207,0.01499,0.015,0.01492,0.01493,0.0149,0.015,0.01495,0.01498,0.01497,0.01501,0.01499,0.01497,0.01497,0.01496,0.01501,0.00931,0.01509,0.009102,0.01494,0.01499,0.01498,0.01499,0.01497,0.0156,0.01483,0.01507,0.01494,0.01459,0.02168,0.01499,0.01497,0.01485,0.01505,0.01505,0.01499,0.01501,0.01512,0.01495,0.015,0.01504,0.01502,0.01501,0.01523,0.01504,0.01503,0.0149,0.01497,0.01504,0.01497,0.01503,0.015,0.02162,0.008907,0.01504,0.01524,0.015,0.01504,0.01496,0.01503,0.01499,0.01496,0.015,0.01497,0.01424,0.01505,0.01495,0.01497,0.01561,0.01498,0.01494,0.015,0.01496,0.01492,0.01473,0.02155,0.01504,0.01496,0.01499,0.015,0.015,0.01507,0.01506,0.0151,0.01495,0.015,0.006779,0.01499,0.01494,0.01505,0.01498,0.01507,0.0152,0.01508
HT LX,,N/A,0.057276,0.109167,0.048801,0.045019,0.048467,0.047048,0.051429,0.038128,0.043257,0.036961,0.039361,0.035355,0.034635,0.049783,0.033407,0.039079,0.054988,0.051306,0.054696,0.044635,0.038399,0.050281,0.047274,0.038071,0.047978,0.051146,0.042747,0.049945,0.043433,0.045611,0.037613,0.052887,0.029773,0.050184,0.053604,0.023758,0.049891,0.046012,0.036572,0.041936,0.052944,0.050794,0.047367,0.051768,0.047383,0.046651,0.054855,0.047348,0.051769,0.050167,0.050057,0.037693,0.023427,0.031076,0.054533,0.047628,0.043395,0.056995,0.051331,0.056755,0.031510,0.024723,0.050719,0.026203,0.032493,0.049354,0.046297,0.050137,0.049111,0.046961,0.029583,0.054914,0.079527,0.052006,0.050094,0.040819,0.053974,0.053923,0.059420,0.045067,0.048726,0.045658,0.049387,0.028487,0.046444,0.049134,0.039608,0.034441,0.033817,0.048125,0.057055,0.047093,0.038463,0.041429,0.048050,0.045171,0.032542,0.036692,0.051257,0.035243,0.055925,0.043021,0.055008,0.050389,0.038072,0.061189,0.042514,0.050835,0.035554,0.049392,0.036284,0.045478,0.046237,0.031093,0.049356,0.047743,0.041162,0.038925,0.045472,0.058526,0.032996,0.038336,0.050685,0.041930,0.038657,0.046717,0.042881,0.048185,0.043798
ST UX,,N/A,0.035929,0.072922,0.052189,0.058228,0.059725,0.055823,0.047080,0.019377,0.045363,0.041848,0.103446,0.013346,0.028824,0.052868,0.043838,0.123278,0.044770,0.049157,0.050613,0.048984,0.054901,0.154893,0.048031,0.013011,0.048613,0.042045,0.022455,0.044749,0.043089,0.044545,0.033731,0.054470,0.016209,0.031628,0.052075,0.026510,0.050313,0.018319,0.039991,0.031354,0.052075,0.064647,0.031352,0.052941,0.055381,0.044712,0.046211,0.041706,0.048507,0.045149,0.051020,0.029107,0.038052,0.020093,0.057590,0.041503,0.050409,0.050468,0.035347,0.044577,0.010431,0.047204,0.048576,0.018685,0.379767,0.031635,0.017642,0.050818,0.045746,0.040842,0.023128,0.199548,0.039634,0.119490,0.035686,0.032933,0.048146,0.032565,0.051338,0.019684,0.050939,0.045803,0.045452,0.039796,0.045286,0.047241,0.024571,0.013573,0.035193,0.047859,0.042200,0.032775,0.015401,0.032343,0.039102,0.028504,0.014990,0.046226,0.045129,0.028507,0.043317,0.050256,0.048346,0.046686,0.007629,0.048074,0.008103,0.048645,0.021984,0.128581,0.023864,0.034330,0.047244,0.047266,0.047079,0.033784,0.050656,0.014611,0.140925,0.044310,0.025002,0.031488,0.035797,0.159922,0.025414,0.039426,0.052313,0.053442,0.049833
HT UX,,N/A,0.044683,0.031050,0.039697,0.034555,0.035482,0.022166,0.037976,0.019212,0.027816,0.028042,0.024765,0.033758,0.030441,0.027139,0.030113,0.036124,0.035671,0.039422,0.037380,0.023771,0.021900,0.032578,0.036229,0.025821,0.032503,0.038713,0.028844,0.040259,0.026388,0.026722,0.035254,0.024513,0.024339,0.029475,0.037889,0.043937,0.027003,0.032277,0.034600,0.022998,0.018964,0.029859,0.030599,0.033055,0.036075,0.036586,0.026305,0.036752,0.035424,0.039939,0.020748,0.035766,0.033173,0.029421,0.033803,0.032898,0.035984,0.030242,0.022187,0.045219,0.026519,0.026479,0.028514,0.031750,0.074696,0.026000,0.033679,0.036647,0.040568,0.035872,0.032102,0.035416,0.042798,0.034211,0.025181,0.035037,0.026309,0.038722,0.037340,0.026516,0.030106,0.023823,0.024855,0.034061,0.025527,0.040967,0.022956,0.033132,0.026305,0.038671,0.036507,0.033579,0.031847,0.025788,0.022656,0.031519,0.033085,0.030372,0.041603,0.029694,0.028740,0.032904,0.052811,0.034701,0.036090,0.030253,0.023215,0.032355,0.021342,0.022361,0.033083,0.030596,0.025224,0.014657,0.028940,0.036346,0.024377,0.021858,0.031981,0.031695,0.025161,0.028413,0.034872,0.025748,0.031884,0.035294,0.036118,0.035453,0.032668
HT Angle,,deg,67.81413,66.67414,47.90508,69.73577,65.93129,71.00008,73.03244,72.98763,73.26818,74.25987,67.96079,72.99902,74.88276,73.10283,73.00124,76.84036,72.89202,72.02868,73.06833,70.13511,66.88946,75.06248,72.14737,72.89127,72.46439,72.6134,72.93022,73.87914,72.88974,72.22993,73.03865,72.91428,72.54326,72.52167,73.19086,69.89754,73.35504,72.94004,72.81133,75.81021,68.79797,72.16235,73.57563,71.89475,67.09503,74.46124,71.42882,73.19149,70.20858,73.15215,68.90553,34.95374,72.5323,66.22261,71.31208,74.90722,71.35625,71.68953,72.27232,73.13334,73.71002,73.57475,71.50894,74.03081,65.73036,72.75927,72.26177,72.14432,74.95552,74.7315,72.2076,74.55489,72.96225,70.31338,72.22113,74.09222,71.41648,75.59475,65.04474,73.14419,67.43769,72.28221,73.11509,72.75758,73.09302,72.88477,73.08607,50.05559,71.52978,73.02962,67.77415,69.17471,72.76609,70.99351,73.08575,73.75943,72.87377,74.38057,71.64409,72.87906,73.2672,72.86375,72.85104,72.11283,72.83468,73.10857,73.04687,73.01305,72.0753,70.84656,70.73524,67.18171,72.59727,65.18326,72.65156,72.95059,70.0807,72.49181,67.23463,72.99402,77.13191,68.34732,70.24431,64.17788,69.65297,69.94383,69.10799,72.95972,73.03723
HT Length,,m,0.10363,0.14367,0.1463,0.13294,0.11365,0.10907,0.19939,0.1714,0.14612,0.12484,0.11516,0.10226,0.18438,0.14558,0.16069,0.10772,0.14408,0.14885,0.12119,0.11941,0.113,0.11177,0.11415,0.13716,0.14361,0.23883,0.15257,0.13876,0.14634,0.17598,0.1671,0.1667,0.12108,0.12628,0.13087,0.09281,0.14436,0.11461,0.13519,0.1355,0.13434,0.17271,0.14636,0.13368,0.14613,0.14311,0.11367,0.16061,0.12337,0.14604,0.11471,0.18956,0.14714,0.2357,0.12862,0.11419,0.19344,0.14894,0.12565,0.15321,0.15936,0.12873,0.10624,0.14914,0.16538,0.13418,0.10569,0.15031,0.18738,0.15429,0.14247,0.12795,0.24898,0.12951,0.13796,0.12568,0.1244,0.18462,0.1344,0.15026,0.11933,0.14636,0.14125,0.16932,0.11497,0.18724,0.14607,0.16355,0.17624,0.14493,0.14931,0.12845,0.18628,0.09401,0.1341,0.10138,0.145,0.1399,0.18493,0.18684,0.19661,0.14445,0.2113,0.14274,0.19127,0.14702,0.16821,0.14192,0.11761,0.10799,0.12133,0.12596,0.11364,0.10794,0.0726,0.11301,0.1331,0.10921,0.13455,0.15053,0.20013,0.19904,0.10799,0.13997,0.12116,0.09283,0.19072,0.10588,0.13627
ST Length,,N/A,0.352980,0.588162,0.478900,0.538530,0.451213,0.295395,0.591267,0.571294,0.573905,0.568054,0.516609,0.577161,0.578929,0.556238,0.560880,0.553270,0.544580,0.565462,0.528975,0.288464,0.315310,0.709643,0.497385,0.509199,0.501255,0.607732,0.624889,0.542602,0.553551,0.602211,0.556258,0.527314,0.563527,0.504303,0.521678,0.422956,0.521285,0.592918,0.533183,0.290196,0.523194,0.459774,0.564944,0.469981,0.525067,0.546547,0.314867,0.504940,0.518081,0.610549,0.518748,0.574397,0.492182,0.416651,0.457556,0.520376,0.611969,0.463173,0.285285,0.564002,0.571018,0.491292,0.370711,0.636877,0.523390,0.456112,0.548234,0.554103,0.568877,0.535304,0.572361,0.738259,0.512316,0.501185,0.482410,0.564666,0.520941,0.546514,0.568107,0.527338,0.500470,0.519130,0.552545,0.639751,0.537172,0.548162,0.534851,0.389372,0.349971,0.626652,0.555085,0.418981,0.553312,0.457768,0.390534,0.595897,0.567495,0.583091,0.510654,0.612727,0.616352,0.529058,0.543894,0.527316,0.595360,0.516684,0.533703,0.575436,0.507678,0.531458,0.461894,0.299481,0.516356,0.319370,0.471095,0.328754,0.521787,0.515367,0.470160,0.600227,0.656033,0.561073,0.353770,0.485479,0.501774,0.389191,0.477141,0.552614,0.541166
BB Length,,m,0.06807,0.06814,0.06799,0.06792,0.07304,0.06794,0.06776,0.0676,0.06798,0.06812,0.09825,0.06806,0.06804,0.06801,0.06787,0.06808,0.068,0.06795,0.06804,0.06801,0.06809,0.06807,0.06794,0.06795,0.06795,0.068,0.06803,0.06806,0.06787,0.06863,0.06796,0.0677,0.06881,0.068,0.06799,0.06806,0.06806,0.06798,0.06805,0.06804,0.06771,0.07297,0.06826,0.06804,0.06805,0.06833,0.068,0.06825,0.06788,0.06812,0.07303,0.06809,0.06802,0.06806,0.06806,0.06793,0.068,0.06806,0.06799,0.06809,0.06823,0.0679,0.0681,0.06766,0.07294,0.06801,0.06802,0.07279,0.06858,0.06808,0.06805,0.06815,0.06813,0.06797,0.06804,0.06793,0.06795,0.06802,0.07291,0.09223,0.06808,0.06857,0.06799,0.06823,0.06801,0.06802,0.06784,0.06804,0.06787,0.0681,0.10315,0.07299,0.06864,0.06795,0.068,0.068,0.06795,0.06773,0.06796,0.06763,0.06795,0.06793,0.06787,0.06784,0.06801,0.0681,0.06798,0.06795,0.06802,0.06817,0.06803,0.06795,0.06797,0.06802,0.06809,0.0679,0.06736,0.06796,0.07347,0.06802,0.06963,0.06781,0.06805,0.06795,0.06801,0.07325,0.06834,0.06795,0.06792
Dropout Offset,,N/A,0.130021,0.135024,0.135025,0.125840,0.141839,0.134975,0.120102,0.130073,0.119939,0.120039,0.173425,0.130047,0.129943,0.120053,0.129995,0.119905,0.130080,0.134891,0.130038,0.135004,0.134907,0.119966,0.129979,0.129901,0.129940,0.129950,0.129924,0.120038,0.141967,0.167823,0.130006,0.129949,0.125852,0.130059,0.129972,0.134986,0.129933,0.129996,0.129988,0.130000,0.135246,0.142252,0.119955,0.134945,0.120036,0.120007,0.135031,0.130030,0.129966,0.130037,0.134978,0.146958,0.134999,0.126188,0.134968,0.130022,0.130023,0.135003,0.129990,0.130034,0.130027,0.119879,0.129915,0.120086,0.141015,0.129986,0.129944,0.134981,0.120024,0.135019,0.120034,0.120010,0.135055,0.134974,0.130040,0.129984,0.134959,0.129885,0.141662,0.134962,0.135049,0.135036,0.129993,0.130043,0.129973,0.134982,0.129977,0.129966,0.112170,0.120042,0.171242,0.141936,0.129978,0.112262,0.120002,0.130043,0.129879,0.119969,0.129960,0.129885,0.130010,0.129916,0.129939,0.120010,0.129938,0.129955,0.129947,0.130048,0.129940,0.134948,0.119865,0.135074,0.134970,0.135023,0.129894,0.119955,0.125389,0.129957,0.141997,0.129969,0.119950,0.129899,0.134934,0.168406,0.130070,0.141957,0.135174,0.129921,0.129974
SSB OD,,N/A,0.015832,0.000000,0.000000,0.016001,0.000000,0.015973,0.000000,0.016058,0.000000,0.015856,0.000000,0.000000,0.015962,0.000000,0.000000,0.000000,0.015907,0.000000,0.000000,0.000000,0.000000,0.015951,0.000000,0.016003,0.000000,0.016022,0.015793,0.000000,0.015944,0.000000,0.000000,0.015929,0.014631,0.000000,0.000000,0.000000,0.016065,0.000000,0.015979,0.000000,0.015944,0.015787,0.015960,0.000000,0.015910,0.000000,0.000000,0.015953,0.015915,0.000000,0.000000,0.015822,0.000000,0.016048,0.000000,0.015975,0.000000,0.000000,0.000000,0.000000,0.015911,0.015242,0.000000,0.015927,0.000000,0.015974,0.000000,0.000000,0.015930,0.000000,0.010243,0.015971,0.000000,0.016006,0.015857,0.015975,0.000000,0.015965,0.015947,0.015961,0.015893,0.000000,0.000000,0.015636,0.000000,0.016019,0.000000,0.000000,0.015937,0.000000,0.000000,0.000000,0.017034,0.015895,0.000000,0.000000,0.000000,0.016024,0.000000,0.000000,0.015989,0.015933,0.016029,0.000000,0.000000,0.015947,0.000000,0.000000,0.000000,0.015961,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015956,0.000000,0.000000,0.000000,0.015950,0.015963,0.000000,0.016013,0.000000,0.015931,0.000000,0.000000,0.015830
CSB OD,,N/A,0.017739,0.017995,0.000000,0.017944,0.017916,0.000000,0.017952,0.017954,0.000000,0.000000,0.017538,0.000000,0.017986,0.018013,0.000000,0.017950,0.018029,0.017883,0.000000,0.000000,0.000000,0.018049,0.000000,0.017962,0.000000,0.017985,0.017839,0.000000,0.017997,0.018014,0.000000,0.017891,0.012915,0.000000,0.000000,0.000000,0.018020,0.000000,0.018018,0.000000,0.000000,0.000000,0.017969,0.000000,0.017902,0.000000,0.000000,0.018013,0.017925,0.000000,0.000000,0.018059,0.000000,0.018082,0.000000,0.017997,0.018004,0.018025,0.000000,0.000000,0.018022,0.000000,0.000000,0.017924,0.018071,0.018009,0.000000,0.000000,0.018064,0.000000,0.000000,0.018014,0.000000,0.017935,0.000000,0.017975,0.000000,0.017959,0.017945,0.018022,0.017826,0.000000,0.000000,0.018173,0.000000,0.018013,0.000000,0.000000,0.018122,0.000000,0.000000,0.000000,0.018006,0.017962,0.000000,0.000000,0.000000,0.017932,0.000000,0.000000,0.018031,0.017965,0.017967,0.000000,0.000000,0.018008,0.000000,0.000000,0.000000,0.017882,0.000000,0.000000,0.017855,0.000000,0.000000,0.000000,0.018085,0.000000,0.000000,0.000000,0.017929,0.018126,0.017907,0.017964,0.000000,0.000000,0.017881,0.000000,0.017975
