Design Study 1
Scenarios/Iterations:, 143
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143
CS OD,,N/A,0.030397,0.023014,0.021904,0.023728,0.023840,0.024352,0.024354,0.025539,0.034751,0.023872,0.025855,0.020109,0.023368,0.024594,0.023952,0.024260,0.022223,0.024040,0.021577,0.022651,0.023790,0.022305,0.023496,0.022480,0.023466,0.024059,0.030305,0.023200,0.026276,0.022940,0.025063,0.024750,0.023766,0.023131,0.020031,0.022438,0.016408,0.027337,0.023466,0.020109,0.027011,0.023508,0.023683,0.024346,0.030451,0.025588,0.016406,0.021706,0.023216,0.021404,0.023763,0.022250,0.022257,0.026236,0.022247,0.035230,0.023292,0.024256,0.024543,0.023781,0.021427,0.022921,0.024838,0.023791,0.025303,0.023965,0.023013,0.024337,0.023063,0.022866,0.023751,0.025349,0.026099,0.025400,0.018537,0.025407,0.022683,0.022149,0.022039,0.024132,0.040683,0.022068,0.022127,0.025362,0.022757,0.022583,0.021967,0.021349,0.024117,0.021841,0.022466,0.025227,0.024576,0.031652,0.023973,0.022881,0.021996,0.022305,0.022728,0.023755,0.023388,0.023360,0.021736,0.022275,0.018240,0.022433,0.023325,0.024245,0.022987,0.025855,0.023424,0.023321,0.022300,0.023605,0.024609,0.024423,0.025557,0.025131,0.022801,0.022721,0.031074,0.021747,0.022798,0.023771,0.023440,0.025258,0.017634,0.022565,0.022672,0.021357,0.022415,0.023527,0.023224,0.025114,0.021588,0.023647,0.022856,0.022092,0.024838,0.023354,0.022976,0.021738,0.023073,0.021115
SS OD,,N/A,0.023139,0.011672,0.012940,0.015024,0.012939,0.012313,0.010690,0.015901,0.021064,0.014002,0.016695,0.012399,0.015814,0.012911,0.013182,0.014770,0.013811,0.011201,0.014109,0.012973,0.012535,0.014141,0.013734,0.013292,0.014466,0.011856,0.013029,0.012370,0.013438,0.012338,0.012023,0.014944,0.013315,0.012750,0.014954,0.015235,0.012929,0.020312,0.013036,0.012155,0.017965,0.013986,0.012938,0.012562,0.018634,0.010509,0.010865,0.011863,0.013550,0.012881,0.011535,0.015060,0.015324,0.023898,0.013342,0.013015,0.013522,0.014162,0.020297,0.013142,0.013385,0.011014,0.012601,0.011328,0.015213,0.013235,0.012053,0.022415,0.013809,0.013872,0.012396,0.021499,0.013160,0.012428,0.014206,0.013529,0.013296,0.014274,0.011175,0.014618,0.027919,0.011117,0.012394,0.010701,0.012357,0.015722,0.013282,0.013203,0.012509,0.014292,0.013115,0.013169,0.013036,0.019329,0.012779,0.013650,0.012760,0.011518,0.013882,0.012311,0.009677,0.014115,0.014618,0.012226,0.011556,0.014510,0.011844,0.013343,0.013352,0.013968,0.014272,0.011560,0.011835,0.014290,0.013136,0.014951,0.011274,0.012552,0.014085,0.012761,0.015929,0.013317,0.013189,0.014544,0.012866,0.012196,0.010757,0.014895,0.013077,0.013008,0.014450,0.013027,0.012233,0.011993,0.013045,0.011961,0.013329,0.010719,0.012197,0.012493,0.012117,0.013590,0.013585,0.011599
ST OD,,N/A,0.046588,0.031857,0.032273,0.031853,0.031830,0.033602,0.034078,0.032068,0.047962,0.030669,0.049175,0.046825,0.030790,0.031278,0.033189,0.028730,0.030539,0.031973,0.031706,0.030133,0.031400,0.032060,0.031761,0.031217,0.031492,0.031223,0.033356,0.032281,0.030367,0.028735,0.031375,0.032285,0.031607,0.031883,0.031983,0.032243,0.028331,0.036785,0.028353,0.031847,0.053723,0.034086,0.030090,0.031763,0.031917,0.031169,0.027411,0.029014,0.031922,0.028790,0.031848,0.031827,0.031764,0.031735,0.028211,0.033061,0.031908,0.029973,0.035530,0.032263,0.030350,0.034476,0.031780,0.031063,0.032968,0.031778,0.028680,0.033585,0.031793,0.031450,0.031489,0.031689,0.027536,0.028873,0.033375,0.033295,0.031749,0.031826,0.028049,0.031956,0.039020,0.027448,0.031568,0.031063,0.028193,0.033479,0.031726,0.031833,0.032029,0.032200,0.030525,0.033024,0.030354,0.031777,0.033860,0.033579,0.030407,0.031880,0.032626,0.031744,0.031795,0.036542,0.030420,0.031263,0.028459,0.032134,0.031333,0.031717,0.032498,0.031689,0.031921,0.030714,0.031749,0.030184,0.029465,0.031889,0.030321,0.031686,0.031825,0.031779,0.054562,0.031676,0.029739,0.031683,0.031440,0.031951,0.028648,0.031980,0.031768,0.030371,0.031740,0.029242,0.031780,0.031699,0.031735,0.030731,0.031807,0.031895,0.031705,0.032084,0.031875,0.030030,0.031722,0.028710
CS F,,m,0.02205,0.01497,0.015,0.01503,0.01493,0.01496,0.01504,0.01505,0.01498,0.01498,0.01492,0.01485,0.015,0.01497,0.01505,0.01489,0.01556,0.01495,0.015,0.015,0.01513,0.015,0.01491,0.01498,0.01505,0.01499,0.01507,0.01503,0.01497,0.01498,0.01504,0.01504,0.01493,0.01502,0.0151,0.01501,0.01562,0.01503,0.01507,0.01501,0.01501,0.01497,0.015,0.01497,0.01499,0.01486,0.01499,0.01501,0.0149,0.01496,0.01505,0.01503,0.01497,0.01504,0.01505,0.01486,0.01492,0.01461,0.01501,0.01503,0.01495,0.01496,0.01503,0.01499,0.01492,0.01501,0.0151,0.01495,0.01495,0.0151,0.01495,0.015,0.01503,0.01501,0.01497,0.01495,0.01507,0.01495,0.01574,0.01496,0.007679,0.01505,0.01497,0.01498,0.009144,0.01498,0.01496,0.01504,0.01495,0.015,0.01495,0.01505,0.01492,0.01503,0.01497,0.01497,0.01495,0.01504,0.01492,0.01502,0.01503,0.015,0.01507,0.01496,0.01507,0.01497,0.0149,0.01504,0.01493,0.01499,0.01502,0.01495,0.01499,0.01506,0.01505,0.01502,0.01497,0.01495,0.01496,0.01506,0.01498,0.01503,0.01508,0.015,0.01508,0.01497,0.01497,0.01498,0.01505,0.01516,0.01493,0.01498,0.01506,0.01486,0.01499,0.01504,0.015,0.01501,0.01508,0.01502,0.01502,0.01495,0.01497,0.01504
HT LX,,N/A,0.057276,0.049272,0.052132,0.059119,0.044498,0.049579,0.076256,0.045980,0.052828,0.047898,0.071677,0.047260,0.028690,0.030776,0.049263,0.033886,0.050069,0.051667,0.048821,0.035511,0.050353,0.046796,0.049023,0.051126,0.042449,0.040297,0.051482,0.050454,0.041219,0.046100,0.051965,0.049946,0.050452,0.045125,0.046147,0.050997,0.026187,0.039778,0.036483,0.044431,0.047810,0.051986,0.045222,0.051693,0.050960,0.048168,0.029498,0.035612,0.049011,0.035533,0.048075,0.046968,0.051662,0.053849,0.036496,0.017537,0.051066,0.047804,0.082194,0.030514,0.033625,0.050741,0.058037,0.048023,0.040908,0.049471,0.048515,0.045473,0.046667,0.038720,0.049708,0.050793,0.032794,0.050287,0.027056,0.051302,0.050405,0.045264,0.049418,0.048753,0.058778,0.032370,0.044817,0.041675,0.034508,0.049866,0.056854,0.050891,0.047997,0.042256,0.035421,0.044368,0.028114,0.047631,0.052557,0.039360,0.032148,0.044100,0.048124,0.054066,0.044967,0.052864,0.048804,0.046988,0.036718,0.050631,0.051446,0.046504,0.056607,0.043831,0.049768,0.035532,0.050226,0.047999,0.049061,0.115438,0.044796,0.046425,0.044659,0.055894,0.049112,0.049213,0.049267,0.041898,0.051549,0.070067,0.042191,0.051753,0.042884,0.038269,0.048122,0.032412,0.050513,0.047311,0.041987,0.043952,0.051939,0.042957,0.051656,0.050445,0.051189,0.035801,0.031184,0.039964
ST UX,,N/A,0.035929,0.046229,0.048744,0.035930,0.047912,0.029543,0.167586,0.049274,0.051076,0.039966,0.046600,0.045951,0.050886,0.039983,0.034283,0.109448,0.066403,0.049243,0.045867,0.023140,0.025825,0.047847,0.055321,0.046375,0.044194,0.004859,0.024301,0.050570,0.013316,0.047213,0.048727,0.046883,0.030283,0.032936,0.040822,0.052778,0.020630,0.161881,0.021170,0.040116,0.030824,0.047671,0.045277,0.175945,0.033230,0.019540,0.026461,0.040089,0.051530,0.134779,0.047425,0.029885,0.047411,0.050252,0.038125,0.119275,0.048446,0.051692,0.201168,0.059351,0.032756,0.043883,0.045376,0.045698,0.183297,0.049042,0.023998,0.069067,0.041356,0.026732,0.043793,0.043861,0.026474,0.039518,0.054161,0.048267,0.033783,0.045331,0.034151,0.062959,0.068998,0.053845,0.067778,0.041716,0.017840,0.048336,0.024112,0.050815,0.036354,0.048459,0.028026,0.047123,0.010658,0.049956,0.048554,0.049522,0.009323,0.045591,0.047394,0.049873,0.030354,0.049346,0.032875,0.049756,0.009090,0.050784,0.029245,0.038337,0.043888,0.154326,0.050948,0.039668,0.050613,0.046008,0.047721,0.049451,0.047488,0.046703,0.033018,0.036933,0.047988,0.045508,0.015002,0.046971,0.112392,0.055052,0.013467,0.051910,0.051751,0.054819,0.028932,0.046658,0.046456,0.032301,0.022288,0.033098,0.048512,0.041169,0.046226,0.049136,0.039026,0.050872,0.030966,0.185605
HT UX,,N/A,0.044683,0.027586,0.032242,0.034819,0.032245,0.033442,0.023227,0.028036,0.055996,0.031736,0.030197,0.026031,0.033958,0.035494,0.025428,0.029353,0.039262,0.032923,0.031836,0.027559,0.040730,0.037496,0.037972,0.035376,0.041442,0.020370,0.025860,0.031749,0.022957,0.027677,0.024708,0.035590,0.045845,0.036514,0.030346,0.023179,0.020944,0.029030,0.029407,0.029647,0.022517,0.027138,0.025476,0.037415,0.027547,0.032763,0.029966,0.028063,0.033998,0.026030,0.030192,0.034368,0.029113,0.019783,0.035398,0.022589,0.023370,0.029346,0.033229,0.025366,0.031978,0.034722,0.036316,0.032368,0.024992,0.030622,0.028604,0.030604,0.031548,0.030677,0.031267,0.017019,0.020735,0.029852,0.015685,0.039822,0.038236,0.031540,0.022845,0.026476,0.035715,0.023777,0.028752,0.036471,0.026384,0.018562,0.045299,0.034867,0.021536,0.030970,0.018305,0.029300,0.031298,0.031163,0.039949,0.026146,0.032078,0.032691,0.022503,0.021939,0.028458,0.030672,0.030866,0.039354,0.025862,0.031778,0.031381,0.028272,0.036018,0.028158,0.028199,0.036044,0.034818,0.032730,0.030135,0.035739,0.033132,0.037465,0.037182,0.025110,0.027836,0.027236,0.032752,0.032824,0.021461,0.018273,0.032289,0.030751,0.029154,0.030797,0.032785,0.025291,0.027672,0.030635,0.030282,0.033292,0.032668,0.042962,0.045629,0.035996,0.032637,0.020141,0.031672,0.029951
HT Angle,,deg,67.81413,72.96569,48.38463,73.01181,75.43858,72.99188,69.77565,68.03557,72.93445,73.36562,67.55307,71.19544,65.23062,70.88029,72.6004,73.84287,70.62993,70.93613,72.97544,71.36676,73.00074,73.09046,70.62458,72.94194,72.20951,73.10518,72.99004,70.80903,70.98076,70.20421,69.99156,72.94239,70.26684,74.03264,72.95328,69.71866,74.54225,66.24633,71.66114,72.02911,72.06545,71.62491,70.71494,73.86975,71.9052,63.068,74.50394,72.90987,71.0471,74.49146,71.38119,71.47918,71.81518,70.39011,71.64911,75.60672,73.90898,70.91119,70.29601,66.47669,71.62883,73.0373,72.27035,71.03606,71.03573,70.22984,73.01393,65.81322,70.2976,59.66049,72.08382,71.62255,72.54418,70.4722,65.89402,74.04586,72.33717,73.24301,70.80682,70.92616,68.50698,74.21182,67.68655,72.89881,70.9134,66.42333,77.22868,69.53533,73.78274,72.19213,66.87485,74.76019,70.02058,71.59794,72.95394,59.31223,73.79926,72.9469,69.3633,73.05059,73.56149,71.60586,70.3588,73.69789,71.17166,71.50086,72.85127,72.82833,70.51513,73.71079,73.04316,74.23042,72.15742,73.00988,70.0589,63.97162,73.03131,73.7262,75.49131,72.00553,72.97409,72.95042,73.86129,74.67336,63.80693,69.77522,71.72564,73.42758,69.59703,67.83908,71.33122,68.96809,72.26855,75.85329,71.53359,73.12073,75.41763,72.94843,74.36333,69.67069,71.16061,68.69462,74.77723,69.47832
HT Length,,m,0.10363,0.14301,0.08829,0.107,0.14553,0.14154,0.1216,0.1123,0.1367,0.17757,0.12143,0.09471,0.10627,0.12833,0.17648,0.14951,0.12204,0.19702,0.14681,0.11072,0.1242,0.15642,0.11138,0.16222,0.14086,0.16086,0.10043,0.18984,0.10645,0.12328,0.15769,0.16841,0.10895,0.12704,0.15081,0.10537,0.12205,0.10116,0.13728,0.09556,0.09784,0.17824,0.11318,0.09062,0.09643,0.14778,0.11627,0.10339,0.1024,0.10478,0.14775,0.08448,0.12115,0.09627,0.1652,0.09516,0.10627,0.14944,0.15959,0.11001,0.13981,0.1441,0.15348,0.10173,0.07237,0.11382,0.13979,0.10883,0.17204,0.11982,0.12062,0.07751,0.10454,0.13625,0.10026,0.11362,0.18024,0.1124,0.22412,0.0952,0.11353,0.1217,0.11068,0.11878,0.11674,0.0786,0.09614,0.15082,0.18794,0.14797,0.08167,0.11681,0.12516,0.08815,0.0991,0.12376,0.12111,0.14695,0.16595,0.20231,0.10816,0.10662,0.09675,0.12851,0.09959,0.15428,0.1875,0.09336,0.17849,0.12338,0.14587,0.12545,0.14208,0.14218,0.15343,0.11264,0.17254,0.14979,0.08143,0.12202,0.14287,0.15306,0.17045,0.15086,0.10252,0.10423,0.16627,0.1149,0.14291,0.12636,0.09641,0.12721,0.17329,0.14312,0.09616,0.11309,0.14474,0.11017,0.15229,0.11915,0.09388,0.10899,0.09185,0.09981
ST Length,,N/A,0.352980,0.540366,0.333558,0.489450,0.536060,0.537183,0.486934,0.541288,0.536108,0.612775,0.400946,0.479407,0.603323,0.518540,0.572048,0.565538,0.505173,0.530348,0.615853,0.494433,0.531438,0.554391,0.410031,0.582804,0.579440,0.631649,0.566407,0.470453,0.488266,0.481455,0.539735,0.531779,0.336648,0.570961,0.502051,0.479563,0.561788,0.475839,0.573889,0.316451,0.466380,0.583845,0.401419,0.635417,0.415448,0.609816,0.584583,0.419575,0.497728,0.311567,0.520288,0.457319,0.510851,0.335794,0.629714,0.440526,0.563590,0.578116,0.585305,0.182110,0.518785,0.527179,0.553707,0.537393,0.470670,0.446303,0.542106,0.491114,0.588085,0.441253,0.502262,0.292910,0.510810,0.531905,0.300997,0.569022,0.588778,0.525097,0.588952,0.301087,0.377010,0.528459,0.250327,0.545713,0.565117,0.499004,0.649647,0.531729,0.565769,0.540735,0.279888,0.477576,0.550264,0.324086,0.530725,0.356217,0.515137,0.528104,0.505880,0.574307,0.553256,0.474546,0.565355,0.515527,0.438369,0.641179,0.582419,0.544361,0.599108,0.599067,0.552372,0.577925,0.594608,0.377405,0.532294,0.489271,0.545814,0.602218,0.436193,0.413147,0.520585,0.494381,0.586525,0.523504,0.285951,0.336985,0.588237,0.540580,0.508066,0.595246,0.333026,0.522163,0.586674,0.503471,0.395756,0.577351,0.580139,0.533031,0.602222,0.528861,0.535970,0.430230,0.564828,0.471894
BB Length,,m,0.06807,0.06797,0.06808,0.06795,0.06795,0.06809,0.06799,0.07299,0.06803,0.0679,0.0733,0.06813,0.07296,0.06803,0.06798,0.06809,0.06808,0.06795,0.06798,0.06796,0.06907,0.06802,0.06799,0.06798,0.06795,0.06812,0.06804,0.07297,0.06799,0.07294,0.06776,0.06806,0.06799,0.06811,0.06802,0.0729,0.0694,0.06801,0.06795,0.0681,0.06814,0.068,0.0681,0.06797,0.06804,0.0922,0.06797,0.06806,0.06799,0.06804,0.06801,0.06805,0.06808,0.06797,0.06805,0.06799,0.06804,0.06813,0.06813,0.073,0.06805,0.06797,0.068,0.06793,0.08637,0.06802,0.06796,0.06799,0.06798,0.06778,0.068,0.068,0.0723,0.06799,0.07318,0.06802,0.06797,0.06796,0.06846,0.068,0.07239,0.06812,0.07304,0.06799,0.06807,0.06799,0.06835,0.06804,0.06801,0.06798,0.06805,0.06801,0.06721,0.068,0.06798,0.06819,0.06789,0.06814,0.0678,0.06801,0.06799,0.068,0.068,0.06798,0.06803,0.06798,0.09142,0.06804,0.06805,0.06802,0.068,0.06801,0.068,0.068,0.06797,0.07296,0.06794,0.068,0.068,0.06803,0.0681,0.06802,0.06801,0.06801,0.06807,0.06801,0.07007,0.068,0.06804,0.07267,0.06802,0.06795,0.06799,0.06815,0.06807,0.06807,0.068,0.06803,0.068,0.06795,0.06799,0.07298,0.06799,0.07286
Dropout Offset,,N/A,0.130021,0.130017,0.135009,0.130014,0.120004,0.129962,0.135141,0.135078,0.130082,0.135072,0.129949,0.129984,0.141990,0.130036,0.129989,0.120012,0.135034,0.134967,0.129947,0.129930,0.119885,0.129991,0.129962,0.129968,0.135044,0.129938,0.130000,0.135087,0.130026,0.134917,0.135056,0.120026,0.135046,0.119912,0.130019,0.134918,0.130294,0.135055,0.130089,0.134931,0.130079,0.135061,0.135012,0.129959,0.130040,0.134937,0.119872,0.125947,0.134956,0.134993,0.129976,0.130035,0.130016,0.135036,0.130231,0.130136,0.120048,0.129908,0.135008,0.141679,0.129987,0.129998,0.129995,0.134926,0.130179,0.135042,0.129938,0.135024,0.135010,0.112454,0.129973,0.134930,0.120034,0.134965,0.142074,0.129999,0.130022,0.129994,0.129926,0.134968,0.135132,0.129883,0.134936,0.120060,0.120002,0.135068,0.119927,0.129942,0.120009,0.129997,0.134939,0.119997,0.129932,0.134990,0.135010,0.135201,0.119851,0.130064,0.134965,0.130015,0.134989,0.135052,0.135026,0.130010,0.130060,0.135025,0.134928,0.130015,0.135040,0.130047,0.129972,0.129992,0.130022,0.129987,0.141963,0.135070,0.130020,0.129931,0.129984,0.130044,0.130047,0.129956,0.120161,0.119899,0.135029,0.135004,0.130061,0.120020,0.135097,0.146475,0.134923,0.134914,0.130038,0.135021,0.130050,0.119938,0.129959,0.129955,0.119990,0.130056,0.130039,0.141758,0.130008,0.135244
SSB OD,,N/A,0.015832,0.015840,0.015801,0.015847,0.015791,0.016088,0.016042,0.015816,0.015823,0.015944,0.015857,0.015716,0.015845,0.015887,0.015840,0.015832,0.015897,0.016001,0.015979,0.015909,0.016015,0.015982,0.016691,0.015896,0.016056,0.015856,0.015938,0.015735,0.015743,0.015884,0.015966,0.015889,0.015766,0.016083,0.015878,0.015902,0.015241,0.015745,0.015782,0.015988,0.015877,0.016001,0.015956,0.015930,0.015783,0.010489,0.015854,0.015990,0.015970,0.016006,0.015909,0.015905,0.015802,0.015866,0.015060,0.016146,0.015853,0.016002,0.015858,0.015757,0.015917,0.015978,0.015805,0.015954,0.015915,0.015872,0.015986,0.015816,0.015853,0.015847,0.015917,0.015835,0.015919,0.015943,0.010140,0.016012,0.015774,0.015932,0.013928,0.015875,0.015916,0.016027,0.015876,0.015990,0.014276,0.015851,0.015863,0.015859,0.015849,0.015812,0.016048,0.015772,0.015959,0.015773,0.015937,0.016047,0.015977,0.015808,0.015854,0.015999,0.015868,0.015808,0.015916,0.015955,0.015970,0.015896,0.015825,0.016065,0.015905,0.015814,0.015978,0.015836,0.015831,0.015825,0.016022,0.015948,0.015976,0.015955,0.015929,0.015794,0.015864,0.015873,0.016019,0.015840,0.015970,0.015856,0.010761,0.015853,0.015834,0.015927,0.015915,0.015991,0.016010,0.015856,0.015787,0.015827,0.015997,0.015992,0.015958,0.015793,0.016054,0.015846,0.015838,0.015810
CSB OD,,N/A,0.017739,0.017722,0.017713,0.017723,0.017747,0.018010,0.017970,0.017724,0.017688,0.017759,0.017760,0.017998,0.017672,0.017748,0.017739,0.017024,0.018004,0.017977,0.018047,0.017983,0.017974,0.017762,0.018020,0.018022,0.017947,0.017754,0.017692,0.017786,0.017758,0.017683,0.017993,0.017981,0.017848,0.017801,0.017708,0.017741,0.017961,0.017725,0.017709,0.017967,0.017814,0.018022,0.017769,0.017930,0.017734,0.016171,0.017731,0.017975,0.017984,0.017867,0.018017,0.017774,0.017760,0.017774,0.017998,0.018016,0.017820,0.017946,0.017750,0.017731,0.017988,0.017962,0.017707,0.017988,0.018021,0.017778,0.017700,0.017921,0.017767,0.017706,0.018031,0.017759,0.017726,0.017752,0.017995,0.018020,0.017762,0.018057,0.013250,0.017751,0.017823,0.017999,0.017779,0.018014,0.017999,0.018037,0.017789,0.017738,0.017772,0.017751,0.017737,0.017720,0.017744,0.017806,0.018055,0.017954,0.017971,0.017732,0.017768,0.018053,0.017760,0.017694,0.017746,0.017777,0.017972,0.019297,0.017734,0.017970,0.017943,0.017733,0.017879,0.017750,0.017828,0.017724,0.018108,0.017773,0.017937,0.017980,0.018052,0.017805,0.017710,0.017744,0.017891,0.017755,0.017991,0.017748,0.018012,0.018015,0.017736,0.018008,0.018002,0.016984,0.017979,0.017716,0.017790,0.017781,0.017980,0.018047,0.018040,0.017811,0.018011,0.017758,0.017683,0.017757
