Design Study 1
Scenarios/Iterations:, 78
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78
CS OD,,N/A,0.030397,0.020773,0.021393,0.025773,0.022959,0.024545,0.032741,0.024491,0.020723,0.020880,0.026350,0.022622,0.022178,0.024493,0.023411,0.035906,0.022558,0.025062,0.029048,0.023859,0.021587,0.021802,0.022471,0.020130,0.033852,0.021832,0.024024,0.023287,0.029057,0.032816,0.022400,0.024633,0.022953,0.022960,0.023181,0.032680,0.028481,0.015826,0.022229,0.032664,0.057706,0.022090,0.021705,0.024016,0.019890,0.023110,0.025412,0.023980,0.023291,0.027481,0.026230,0.023013,0.022861,0.022660,0.024647,0.034723,0.024832,0.035628,0.023489,0.022399,0.022130,0.025540,0.023871,0.023284,0.024820,0.048616,0.024831,0.024885,0.022046,0.022662,0.030592,0.030122,0.034834,0.017996,0.028897,0.025454,0.022182,0.025271,0.022712
SS OD,,N/A,0.023139,0.013558,0.015062,0.014855,0.019065,0.013227,0.013300,0.013508,0.021049,0.013314,0.013235,0.018405,0.016623,0.015866,0.014036,0.016208,0.015011,0.016277,0.016281,0.016125,0.010849,0.014409,0.015335,0.014706,0.014816,0.015914,0.015500,0.012611,0.025573,0.021569,0.016086,0.022287,0.016473,0.020434,0.016280,0.014205,0.020422,0.014528,0.015862,0.014002,0.036371,0.015569,0.020977,0.014025,0.015436,0.013323,0.014318,0.017867,0.020066,0.014258,0.012268,0.013859,0.012993,0.016221,0.017005,0.015553,0.016484,0.022985,0.012955,0.020819,0.013737,0.021336,0.015893,0.014535,0.013134,0.024529,0.019137,0.014080,0.012050,0.013706,0.016101,0.016546,0.018926,0.013414,0.016759,0.015412,0.016625,0.015171,0.014252
ST OD,,N/A,0.046588,0.030701,0.032859,0.029451,0.030860,0.030242,0.032267,0.034670,0.027848,0.028862,0.033322,0.032250,0.030481,0.029500,0.032640,0.032130,0.033484,0.031855,0.032727,0.034654,0.027665,0.029442,0.030360,0.028930,0.031338,0.045853,0.030147,0.030686,0.029787,0.031754,0.029005,0.033308,0.031144,0.030156,0.029712,0.032490,0.034046,0.030988,0.031067,0.038178,0.031973,0.030691,0.028969,0.029687,0.030065,0.029688,0.029970,0.030895,0.031090,0.032101,0.031289,0.029849,0.027946,0.027703,0.027908,0.033532,0.029477,0.031027,0.030758,0.031869,0.028210,0.034144,0.031520,0.033384,0.033302,0.031458,0.033429,0.030669,0.030309,0.033345,0.029913,0.030666,0.030975,0.031536,0.030326,0.032756,0.030529,0.030497,0.044033
CS F,,m,0.02205,0.01561,0.01464,0.01489,0.01488,0.0148,0.01579,0.01517,0.01442,0.01512,0.01555,0.01541,0.0153,0.01545,0.01532,0.01546,0.01462,0.01574,0.01495,0.01488,0.01505,0.01509,0.01498,0.01545,0.01467,0.0147,0.01675,0.01458,0.01385,0.01426,0.01458,0.01522,0.01494,0.01455,0.01484,0.01484,0.01605,0.0144,0.01586,0.01529,0.01439,0.01458,0.01417,0.01606,0.01399,0.01485,0.01605,0.01517,0.01489,0.01451,0.01478,0.01625,0.01447,0.01465,0.01483,0.01552,0.0138,0.01487,0.01502,0.01542,0.01502,0.01563,0.01568,0.01452,0.01554,0.01487,0.01542,0.01512,0.01394,0.01562,0.01489,0.008147,0.01506,0.01518,0.01587,0.01557,0.01457,0.01528,0.0143
HT LX,,N/A,0.057276,0.045122,0.051491,0.041643,0.036927,0.045195,0.048841,0.062993,0.045734,0.050339,0.044694,0.048715,0.049455,0.051401,0.038073,0.056697,0.039786,0.048071,0.043813,0.081984,0.046066,0.039839,0.036672,0.040087,0.042031,0.049931,0.053320,0.047916,0.066462,0.045758,0.040927,0.049855,0.050272,0.088272,0.038768,0.045873,0.034275,0.042695,0.029484,0.034817,0.045272,0.038272,0.051796,0.039899,0.049399,0.055395,0.046882,0.050568,0.046294,0.075005,0.045729,0.034238,0.050423,0.074728,0.051611,0.047431,0.052804,0.065474,0.051807,0.046761,0.057233,0.054534,0.053224,0.051225,0.047362,0.047816,0.064549,0.031310,0.057950,0.028388,0.050985,0.069418,0.051865,0.047439,0.101201,0.052912,0.043809,0.071605,0.047053
ST UX,,N/A,0.035929,0.021235,0.039843,0.036299,0.035810,0.035208,0.035748,0.044544,0.027949,0.038432,0.049420,0.012461,0.025810,0.049089,0.058998,0.046207,0.017298,0.043680,0.039079,0.034920,0.045582,0.121782,0.048993,0.036451,0.012818,0.042905,0.037155,0.038402,0.016100,0.035329,0.048912,0.040575,0.053728,0.049365,0.043473,0.031226,0.048356,0.022044,0.042720,0.037074,0.053958,0.024424,0.047127,0.041029,0.029483,0.046933,0.053068,0.038444,0.045338,0.043011,0.034094,0.008699,0.050638,0.043513,0.028607,0.048605,0.038551,0.043807,0.041910,0.042482,0.099446,0.052416,0.052653,0.030300,0.034964,0.028593,0.035205,0.047839,0.035643,0.029747,0.038768,0.022412,0.010905,0.023756,0.049643,0.017983,0.042421,0.031591,0.044714
HT UX,,N/A,0.044683,0.029000,0.039898,0.039261,0.030396,0.042345,0.044131,0.042969,0.025645,0.029910,0.034910,0.038830,0.037563,0.039238,0.030209,0.041933,0.032166,0.038848,0.035579,0.045679,0.040817,0.037981,0.027695,0.036021,0.038374,0.027881,0.041484,0.018069,0.028901,0.027852,0.040763,0.042663,0.032236,0.047407,0.027395,0.035577,0.031227,0.040742,0.027364,0.039136,0.030194,0.033635,0.032543,0.037111,0.030739,0.043729,0.029068,0.038737,0.039345,0.031146,0.037426,0.030954,0.033481,0.032766,0.039829,0.032496,0.031719,0.037157,0.038934,0.016725,0.054827,0.044790,0.041820,0.038773,0.040211,0.032095,0.044309,0.037219,0.042223,0.030706,0.031086,0.030185,0.039613,0.031977,0.034798,0.042090,0.035664,0.037501,0.032617
HT Angle,,deg,67.81413,72.44419,72.10383,69.75965,71.49148,72.89432,73.0198,71.5552,70.40698,72.16184,73.91221,65.14438,72.97801,69.90217,72.98857,72.89808,72.05367,71.77265,72.97491,73.89678,71.53409,74.22071,71.32041,69.82871,72.64606,64.87189,72.55454,72.98038,72.89077,72.92996,69.25262,69.21904,71.76763,71.36391,67.31013,71.93007,70.03856,71.61534,74.37373,66.58343,72.80869,72.9789,71.9389,73.7888,67.70061,69.63542,72.86825,70.22803,73.78425,63.75123,77.40163,74.37408,72.92775,71.60367,71.68725,72.99361,74.13305,70.1547,71.23351,69.86311,72.73527,69.47701,69.81314,73.68989,73.59534,71.72072,71.89301,72.91514,71.58564,70.51127,72.85349,71.79717,73.91433,72.92727,63.1788,72.51269,72.95146,71.53299,71.55416
HT Length,,m,0.10363,0.10697,0.1453,0.13777,0.1231,0.14851,0.1519,0.13356,0.11738,0.13955,0.17179,0.12522,0.16821,0.21838,0.12248,0.17058,0.10813,0.149,0.12309,0.10699,0.19352,0.14136,0.15442,0.10852,0.17697,0.10421,0.15129,0.16555,0.12591,0.19947,0.15476,0.26691,0.09899,0.11765,0.15787,0.13015,0.08636,0.12292,0.12413,0.19487,0.14438,0.12645,0.14437,0.11555,0.12474,0.2893,0.16373,0.14271,0.10971,0.21945,0.2062,0.12563,0.14106,0.12851,0.18205,0.14404,0.05027,0.11751,0.14308,0.10511,0.18811,0.16743,0.15869,0.16701,0.12869,0.1424,0.18305,0.27271,0.19818,0.16865,0.12518,0.14439,0.18343,0.12105,0.17437,0.14465,0.15257,0.17144,0.27143
ST Length,,N/A,0.352980,0.640915,0.523201,0.258467,0.565253,0.557800,0.552590,0.562508,0.465389,0.583299,0.555570,0.545036,0.544856,0.501970,0.528451,0.625539,0.311807,0.476476,0.456927,0.515258,0.617036,0.615538,0.502471,0.330386,0.497533,0.518577,0.614915,0.625972,0.490603,0.613908,0.490215,0.551786,0.510150,0.592507,0.523886,0.331642,0.522325,0.275974,0.647006,0.550993,0.476318,0.597347,0.426915,0.526342,0.506108,0.537602,0.611299,0.341832,0.567227,0.472492,0.522883,0.495990,0.427267,0.468751,0.552901,0.488537,0.462741,0.583642,0.385213,0.484610,0.595497,0.497207,0.539679,0.637803,0.702676,0.487825,0.517782,0.508547,0.525608,0.498814,0.503820,0.303497,0.654172,0.442422,0.599681,0.466768,0.489074,0.603484,0.576079
BB Length,,m,0.06807,0.06757,0.06655,0.06692,0.0684,0.06759,0.06794,0.06778,0.06721,0.06829,0.0684,0.06818,0.06777,0.06791,0.06822,0.06723,0.06719,0.06823,0.06612,0.06654,0.06827,0.06705,0.06735,0.07145,0.06738,0.06769,0.06791,0.06865,0.0666,0.06753,0.06785,0.0678,0.0678,0.06741,0.07273,0.06643,0.06835,0.06652,0.06759,0.0675,0.06679,0.06798,0.06799,0.06885,0.06656,0.06688,0.06798,0.06666,0.06758,0.06709,0.06867,0.06783,0.0684,0.06672,0.06654,0.06788,0.06753,0.06754,0.06757,0.06788,0.06743,0.06805,0.06769,0.0664,0.07242,0.06799,0.06731,0.0676,0.06727,0.06723,0.06687,0.06782,0.06722,0.06768,0.06807,0.06751,0.06741,0.06838,0.06806
Dropout Offset,,N/A,0.130021,0.131038,0.136244,0.130759,0.134967,0.119622,0.131030,0.136087,0.136495,0.134523,0.130413,0.136734,0.130948,0.135446,0.130912,0.130174,0.130904,0.136006,0.135918,0.131204,0.131019,0.130486,0.130746,0.135811,0.131192,0.130593,0.135021,0.130072,0.130919,0.130353,0.131309,0.136132,0.135191,0.135701,0.130688,0.131296,0.135671,0.130878,0.129870,0.130076,0.135165,0.136122,0.130917,0.135556,0.131010,0.135219,0.129657,0.135555,0.131868,0.132207,0.130224,0.135373,0.129527,0.134883,0.130667,0.135625,0.130588,0.130471,0.130410,0.135942,0.136087,0.120630,0.135507,0.130986,0.130788,0.135293,0.129678,0.130730,0.135480,0.120483,0.135730,0.143008,0.136213,0.136259,0.131329,0.135817,0.130194,0.135961,0.129835
SSB OD,,N/A,0.015832,0.000000,0.015610,0.000000,0.014735,0.000000,0.016510,0.016228,0.015382,0.000000,0.015994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015003,0.000000,0.000000,0.014618,0.000000,0.016614,0.000000,0.014782,0.000000,0.015561,0.014727,0.016031,0.016630,0.000000,0.015133,0.014915,0.000000,0.000000,0.000000,0.000000,0.000000,0.015825,0.000000,0.000000,0.015753,0.000000,0.015236,0.000000,0.015243,0.015626,0.000000,0.000000,0.000000,0.014678,0.015321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015498,0.000000,0.015791,0.000000,0.000000,0.000000,0.000000,0.015599,0.015160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CSB OD,,N/A,0.017739,0.000000,0.019400,0.000000,0.018424,0.000000,0.019680,0.019504,0.017943,0.000000,0.018492,0.000000,0.019322,0.019533,0.000000,0.000000,0.000000,0.019806,0.000000,0.000000,0.019742,0.000000,0.018958,0.000000,0.018858,0.018870,0.019611,0.018531,0.018890,0.018430,0.000000,0.019532,0.018656,0.000000,0.000000,0.000000,0.018725,0.000000,0.000000,0.000000,0.019049,0.019872,0.000000,0.019353,0.000000,0.000000,0.018610,0.000000,0.019553,0.000000,0.019439,0.018928,0.000000,0.000000,0.000000,0.000000,0.000000,0.019195,0.018737,0.000000,0.019286,0.000000,0.019652,0.000000,0.000000,0.000000,0.000000,0.000000,0.019009,0.000000,0.000000,0.000000,0.000000,0.000000,0.018753,0.000000,0.000000,0.000000,0.000000
Material,,N/A,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials
SSB Offset,,N/A,0.330039,0.383127,0.386508,0.382182,0.330365,0.329973,0.331182,0.374215,0.331064,0.330555,0.331480,0.330799,0.330731,0.331358,0.330326,0.330894,0.329711,0.330990,0.369998,0.330946,0.330516,0.331190,0.331020,0.330620,0.331003,0.330499,0.331020,0.330501,0.331014,0.330418,0.330781,0.330886,0.331086,0.330984,0.330712,0.330120,0.330030,0.329979,0.331634,0.383068,0.330108,0.329880,0.331061,0.330811,0.331484,0.330127,0.392566,0.330511,0.329837,0.330674,0.330996,0.331164,0.331079,0.330826,0.331435,0.330867,0.331027,0.330630,0.330800,0.329780,0.386254,0.330889,0.331333,0.330834,0.330353,0.330433,0.330418,0.377668,0.330609,0.330308,0.381052,0.329969,0.330926,0.330425,0.376358,0.330743,0.331006,0.385876,0.330970
