Design Study 1
Scenarios/Iterations:, 160
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160
CS OD,,N/A,0.030397,0.022029,0.022212,0.023253,0.023075,0.023146,0.041617,0.024069,0.038293,0.025221,0.022669,0.021888,0.024074,0.022190,0.023527,0.036222,0.023306,0.023763,0.022537,0.036196,0.022400,0.023625,0.023350,0.022197,0.022340,0.043390,0.022742,0.023289,0.023223,0.023403,0.024425,0.022354,0.022902,0.022162,0.022301,0.022977,0.040964,0.023218,0.022884,0.021936,0.022047,0.022119,0.028144,0.022184,0.022532,0.023007,0.022776,0.022080,0.022408,0.022510,0.022550,0.022238,0.022086,0.023322,0.049093,0.022392,0.022303,0.022171,0.023752,0.022663,0.023126,0.023713,0.023135,0.022667,0.046932,0.023235,0.022180,0.048716,0.023024,0.048274,0.040669,0.022432,0.022563,0.022984,0.022560,0.022344,0.022825,0.023090,0.023183,0.022064,0.022781,0.022906,0.022879,0.023674,0.023104,0.023825,0.023347,0.023196,0.022753,0.022568,0.022409,0.022867,0.023006,0.046594,0.022395,0.022036,0.023352,0.023343,0.046983,0.021950,0.022620,0.022382,0.045737,0.022621,0.023291,0.022403,0.022373,0.022818,0.023234,0.022619,0.027276,0.022548,0.023352,0.038806,0.046603,0.022800,0.022483,0.022683,0.043048,0.022698,0.023184,0.022704,0.022684,0.023190,0.023195,0.022660,0.022639,0.022811,0.048478,0.022696,0.049533,0.021947,0.022326,0.023197,0.022796,0.022047,0.022830,0.023136,0.022685,0.023150,0.023036,0.022738,0.022408,0.023355,0.039273,0.023138,0.022141,0.022762,0.022800,0.023253,0.043889,0.022651,0.023010,0.022875,0.023385,0.023020,0.022336,0.022633,0.043305,0.022629,0.022757
SS OD,,N/A,0.023139,0.013137,0.013145,0.012912,0.012818,0.013105,0.024602,0.016494,0.020884,0.013877,0.012688,0.013079,0.013525,0.013144,0.013525,0.022795,0.013371,0.016438,0.012504,0.019720,0.012410,0.013381,0.013370,0.013186,0.012356,0.024777,0.012741,0.013385,0.013377,0.014866,0.016634,0.012358,0.013209,0.012163,0.012361,0.012884,0.021815,0.013111,0.013510,0.013076,0.013206,0.013248,0.016540,0.012231,0.012516,0.012903,0.012746,0.012193,0.012423,0.012547,0.012607,0.012116,0.012190,0.013410,0.027196,0.012721,0.012097,0.012169,0.015768,0.012690,0.013031,0.013444,0.012923,0.012803,0.025883,0.012902,0.013140,0.028809,0.013333,0.026218,0.021519,0.012548,0.012844,0.013265,0.012587,0.012404,0.012730,0.013043,0.012914,0.012171,0.012700,0.012797,0.013005,0.013377,0.012863,0.016154,0.012971,0.013372,0.013218,0.012551,0.012591,0.012844,0.012896,0.025779,0.012395,0.012105,0.013421,0.013432,0.028060,0.013165,0.012534,0.012473,0.027012,0.012561,0.013253,0.012430,0.012416,0.012796,0.012953,0.012564,0.017670,0.012497,0.013434,0.020631,0.025763,0.012735,0.012622,0.012558,0.024711,0.012689,0.013400,0.012630,0.012716,0.013064,0.013020,0.012586,0.012673,0.012810,0.028879,0.012652,0.028025,0.012013,0.012254,0.012889,0.012761,0.013230,0.012881,0.013230,0.012758,0.013015,0.012815,0.013138,0.012452,0.013293,0.022010,0.012895,0.012225,0.012816,0.012723,0.013317,0.025393,0.012883,0.012897,0.012742,0.013132,0.012913,0.012313,0.012664,0.024819,0.012649,0.012655
ST OD,,N/A,0.046588,0.035448,0.036117,0.028773,0.028086,0.027945,0.043136,0.033900,0.031506,0.036791,0.026318,0.035032,0.029807,0.035944,0.028867,0.041491,0.029126,0.037690,0.026039,0.031288,0.026313,0.030737,0.029060,0.035989,0.026113,0.030946,0.026374,0.028423,0.028534,0.034277,0.034426,0.026227,0.027358,0.026156,0.026851,0.027901,0.031498,0.028650,0.036992,0.035197,0.034970,0.035093,0.029945,0.026007,0.026504,0.028050,0.027380,0.026038,0.026031,0.026629,0.026944,0.025595,0.026143,0.028245,0.032416,0.028721,0.025575,0.026104,0.032631,0.027203,0.030270,0.030571,0.028139,0.026731,0.032639,0.029745,0.036101,0.042766,0.028335,0.031253,0.031386,0.027007,0.028795,0.027546,0.026971,0.026741,0.027324,0.028060,0.028977,0.025982,0.027047,0.027423,0.027592,0.030520,0.028401,0.034045,0.029432,0.028505,0.027953,0.026565,0.027302,0.027800,0.030161,0.032088,0.026604,0.025611,0.028310,0.028693,0.043240,0.035078,0.026501,0.027155,0.040009,0.026676,0.028932,0.026345,0.026405,0.027670,0.028309,0.026557,0.031285,0.026055,0.028705,0.031458,0.032182,0.027649,0.027356,0.026178,0.042962,0.027013,0.028035,0.026776,0.027172,0.028283,0.028159,0.026604,0.026809,0.027489,0.043787,0.026910,0.036040,0.025619,0.026078,0.028658,0.027627,0.035337,0.027868,0.027949,0.027365,0.028047,0.028199,0.028243,0.026446,0.028821,0.031562,0.028470,0.026512,0.027576,0.027134,0.028925,0.042999,0.027641,0.030145,0.027467,0.028902,0.027868,0.026427,0.027190,0.042893,0.027011,0.026852
CS F,,m,0.02205,0.01722,0.01704,0.01586,0.01554,0.01536,0.01655,0.017,0.01489,0.01693,0.01478,0.01728,0.01604,0.01705,0.0157,0.01659,0.0153,0.01717,0.01477,0.01487,0.01472,0.01644,0.01539,0.01708,0.01483,0.01523,0.01478,0.01539,0.01504,0.01675,0.01689,0.01484,0.01489,0.01474,0.0148,0.01534,0.01505,0.01556,0.01672,0.01724,0.01714,0.0171,0.01496,0.01477,0.01487,0.01551,0.01518,0.01473,0.01484,0.01476,0.01489,0.01471,0.01475,0.01531,0.01586,0.01488,0.0147,0.01474,0.01665,0.01502,0.0158,0.01646,0.01559,0.01488,0.01598,0.01637,0.01707,0.0169,0.01494,0.01562,0.01493,0.01484,0.01507,0.01494,0.01488,0.01482,0.0152,0.01539,0.0158,0.01473,0.0151,0.01525,0.01502,0.01649,0.01574,0.01675,0.01615,0.01503,0.01481,0.01488,0.01486,0.01524,0.01582,0.016,0.01481,0.01473,0.01534,0.01553,0.0169,0.01727,0.01489,0.01483,0.0167,0.0149,0.01543,0.01485,0.01484,0.01527,0.01562,0.01489,0.01701,0.01477,0.01554,0.01487,0.01604,0.01527,0.01487,0.01475,0.01637,0.01503,0.01497,0.015,0.01494,0.01554,0.01554,0.01493,0.01489,0.01512,0.01689,0.01503,0.01619,0.0147,0.01477,0.01578,0.01521,0.01722,0.01529,0.01522,0.01498,0.01548,0.0155,0.01484,0.01485,0.01564,0.01519,0.01575,0.01474,0.01509,0.01512,0.01537,0.01643,0.01486,0.01582,0.01533,0.01577,0.01545,0.01476,0.01509,0.01635,0.01497,0.01506
HT LX,,N/A,0.057276,0.066965,0.070011,0.041492,0.040524,0.039971,0.044665,0.043435,0.045499,0.054393,0.037464,0.068048,0.042102,0.069539,0.042091,0.044077,0.042354,0.045559,0.037133,0.045027,0.038225,0.044645,0.042059,0.068218,0.037524,0.040417,0.037553,0.040867,0.041361,0.045231,0.043902,0.037994,0.038989,0.038339,0.039869,0.040190,0.045107,0.041617,0.066654,0.067869,0.066218,0.065280,0.041114,0.037675,0.038243,0.041266,0.039955,0.037896,0.037109,0.038558,0.039305,0.036981,0.038143,0.040381,0.040719,0.043727,0.037041,0.038175,0.043555,0.039765,0.044832,0.044263,0.040797,0.038004,0.041251,0.043121,0.069774,0.042004,0.041290,0.040198,0.044950,0.039743,0.043596,0.039358,0.039206,0.039483,0.039475,0.040644,0.042078,0.037799,0.039025,0.039497,0.039696,0.044014,0.041933,0.044158,0.042695,0.041357,0.040822,0.038278,0.040293,0.040374,0.045056,0.040692,0.039054,0.036966,0.040476,0.041837,0.042405,0.066839,0.038061,0.040407,0.042085,0.038479,0.041766,0.038094,0.038286,0.040572,0.040605,0.038176,0.039796,0.037184,0.041857,0.045678,0.040777,0.040199,0.040280,0.037439,0.045095,0.039188,0.040340,0.038571,0.039381,0.040675,0.040253,0.038214,0.038561,0.039928,0.042295,0.038982,0.041419,0.037269,0.037865,0.041670,0.040152,0.065555,0.041200,0.039983,0.039936,0.040255,0.040859,0.041456,0.038312,0.041762,0.043665,0.042002,0.039105,0.040306,0.039151,0.041985,0.044666,0.040261,0.045006,0.039679,0.041866,0.040615,0.038575,0.040061,0.045093,0.039358,0.038588
ST UX,,N/A,0.035929,0.024577,0.027835,0.034685,0.033104,0.036042,0.009981,0.013347,0.035167,0.053498,0.034287,0.027376,0.041055,0.027732,0.043947,0.014980,0.039960,0.015821,0.032875,0.033868,0.035470,0.040797,0.039708,0.026023,0.030110,0.020232,0.036586,0.039072,0.037509,0.019724,0.015496,0.031116,0.034584,0.031651,0.034219,0.033865,0.029502,0.037815,0.024431,0.025681,0.028916,0.027725,0.026346,0.030235,0.031745,0.036606,0.034185,0.030054,0.030251,0.035370,0.033756,0.031781,0.030374,0.037875,0.017244,0.039969,0.034693,0.031317,0.018721,0.034371,0.038029,0.041856,0.035223,0.033119,0.017586,0.033909,0.027345,0.006185,0.037957,0.016256,0.029565,0.034636,0.039965,0.035212,0.032482,0.033579,0.032773,0.036914,0.035410,0.029836,0.032624,0.033331,0.035095,0.040284,0.036770,0.017838,0.035886,0.037563,0.035111,0.031963,0.034827,0.034486,0.037376,0.017296,0.033468,0.028227,0.038088,0.042774,0.006140,0.028234,0.030879,0.035488,0.009851,0.031504,0.038424,0.031571,0.031883,0.034964,0.034321,0.031615,0.012386,0.033337,0.042709,0.033458,0.016940,0.032969,0.034496,0.037561,0.011479,0.033764,0.036292,0.032017,0.033666,0.036038,0.034748,0.031514,0.033245,0.034525,0.005124,0.032979,0.015881,0.028477,0.031759,0.035210,0.033464,0.026463,0.037720,0.036528,0.035096,0.035293,0.033493,0.037010,0.031938,0.039938,0.031307,0.037075,0.032674,0.035422,0.032879,0.039471,0.010801,0.035259,0.037335,0.032479,0.038229,0.035734,0.033626,0.035368,0.011650,0.033894,0.031703
HT UX,,N/A,0.044683,0.050801,0.051963,0.023388,0.022855,0.023706,0.037041,0.037300,0.031270,0.029366,0.024880,0.049668,0.024977,0.051641,0.023912,0.034043,0.025929,0.039491,0.024549,0.031065,0.025616,0.026714,0.025501,0.051364,0.023108,0.027717,0.024665,0.024719,0.026010,0.037362,0.037570,0.022892,0.024651,0.024379,0.024378,0.023317,0.032186,0.023967,0.051089,0.050765,0.047447,0.047558,0.030281,0.024094,0.022860,0.023097,0.023083,0.024865,0.022745,0.025554,0.023468,0.024194,0.024830,0.024681,0.029345,0.027335,0.023590,0.024247,0.035270,0.023366,0.027586,0.025963,0.022819,0.023613,0.030125,0.024880,0.051957,0.031366,0.026072,0.028602,0.031799,0.024380,0.026635,0.024774,0.023784,0.024015,0.022809,0.023634,0.024122,0.024850,0.022718,0.022804,0.024459,0.025908,0.023133,0.037032,0.024161,0.026017,0.026941,0.022905,0.024854,0.023648,0.027393,0.029825,0.023788,0.024340,0.024681,0.024474,0.031675,0.047976,0.022563,0.024513,0.031385,0.022834,0.025041,0.023033,0.023314,0.023299,0.022919,0.022661,0.030850,0.024522,0.024464,0.032116,0.029976,0.023163,0.024694,0.024159,0.036842,0.022996,0.025436,0.022610,0.023751,0.023303,0.022979,0.022607,0.023289,0.023586,0.031546,0.022712,0.030151,0.024693,0.023623,0.023412,0.023415,0.048188,0.023675,0.024419,0.023938,0.023061,0.023267,0.026789,0.023233,0.024116,0.030047,0.023200,0.025121,0.023879,0.022828,0.025386,0.035721,0.025450,0.027330,0.022480,0.023711,0.022832,0.024580,0.023013,0.036708,0.023184,0.022517
HT Angle,,deg,67.81413,75.5801,73.46438,72.8109,73.03839,73.40252,66.82227,76.39825,70.09865,70.04351,73.35325,75.37309,72.67527,73.86217,71.14126,67.21335,73.56982,70.74157,73.56149,70.75355,73.85697,72.68053,73.48187,73.95323,73.88927,68.62471,72.36327,73.00155,74.23561,74.87979,74.96225,72.90348,74.1194,73.27116,71.95209,73.30407,70.64732,72.4816,71.76149,76.09411,73.86765,73.9115,76.16378,74.10474,73.10004,71.86262,72.38077,74.67825,73.70211,73.55506,72.66822,73.49079,74.44245,73.5195,68.13517,72.58489,71.92643,73.32393,76.88017,72.42404,74.06127,71.79829,72.27646,73.7173,68.97695,73.44282,73.53622,65.76725,73.89901,68.7631,70.74432,72.09408,72.12064,74.07389,73.57084,71.95149,72.94288,72.57943,73.03066,74.74792,72.80894,72.95338,73.70533,72.15618,71.76176,75.34433,72.28721,74.18074,74.83662,73.12591,73.22296,73.08172,73.44884,69.03708,71.93952,75.05017,73.4812,71.52167,65.77689,73.76715,73.31819,71.86034,67.29589,73.25585,73.60477,73.069,73.03612,72.29728,73.02907,73.10226,74.12373,73.36931,71.53425,70.72635,69.11878,72.96242,73.30735,71.86877,66.79557,72.48053,74.23294,72.90257,73.25387,72.87126,73.17752,73.13141,73.10351,72.86477,65.31076,72.56008,67.4237,74.99758,72.65936,72.52832,73.07092,73.51711,71.80452,73.58285,72.74086,72.93232,73.12576,74.27845,73.11037,71.97571,69.22933,71.76181,73.46981,72.57126,72.86314,73.39182,66.60757,74.02538,73.43893,72.80736,71.96103,72.00872,72.76645,71.86745,66.79499,72.46903,72.99614
HT Length,,m,0.10363,0.2828,0.28253,0.13277,0.12917,0.12972,0.22187,0.20867,0.21309,0.2237,0.19409,0.27499,0.13465,0.28152,0.13163,0.206,0.13452,0.22952,0.18377,0.20779,0.21139,0.16948,0.13374,0.28234,0.1271,0.16231,0.21081,0.13174,0.13395,0.2153,0.20847,0.1269,0.13017,0.14919,0.14011,0.12906,0.21796,0.13083,0.27811,0.28133,0.2642,0.2655,0.17234,0.13004,0.12674,0.12953,0.12828,0.13295,0.12614,0.19136,0.1281,0.18859,0.13209,0.13157,0.16787,0.13855,0.21353,0.14258,0.19861,0.12833,0.16421,0.15838,0.12897,0.12778,0.17481,0.15373,0.28322,0.19794,0.13369,0.16362,0.21871,0.13153,0.13622,0.1307,0.12913,0.13363,0.12783,0.12948,0.13423,0.13335,0.12713,0.12777,0.1305,0.16049,0.13159,0.2065,0.13697,0.1339,0.13476,0.12684,0.13098,0.12955,0.16626,0.16825,0.13596,0.13084,0.13166,0.13147,0.20145,0.26778,0.12643,0.13911,0.19455,0.12706,0.13295,0.12699,0.12773,0.1291,0.12919,0.12647,0.17323,0.18869,0.13151,0.22231,0.17026,0.12892,0.13094,0.22283,0.22181,0.12739,0.1325,0.12661,0.12891,0.12918,0.12858,0.12648,0.12748,0.12898,0.20047,0.12693,0.17795,0.13537,0.14207,0.1322,0.12919,0.26946,0.12973,0.13088,0.12926,0.12861,0.12998,0.13465,0.12741,0.13103,0.17567,0.13169,0.15023,0.1294,0.12746,0.13341,0.217,0.13215,0.16563,0.12766,0.13167,0.12842,0.16404,0.12786,0.22106,0.12776,0.12661
ST Length,,N/A,0.352980,0.510450,0.601270,0.426060,0.424053,0.438944,0.336191,0.331845,0.402519,0.454812,0.473766,0.545532,0.432910,0.591286,0.423194,0.333528,0.459430,0.368179,0.470336,0.398129,0.484523,0.443898,0.453827,0.548764,0.442262,0.261184,0.473759,0.446869,0.468155,0.382788,0.346466,0.433066,0.459620,0.457960,0.445008,0.432897,0.377713,0.431679,0.533274,0.536971,0.512307,0.503953,0.313128,0.452170,0.433967,0.419610,0.428994,0.462873,0.439025,0.477204,0.435576,0.467574,0.460112,0.449724,0.240411,0.471334,0.463601,0.455997,0.352688,0.432152,0.471690,0.435563,0.418872,0.448162,0.259241,0.432895,0.589803,0.259826,0.469757,0.231030,0.376223,0.440718,0.461970,0.459629,0.445734,0.438169,0.429171,0.432178,0.435405,0.463753,0.429530,0.428375,0.453716,0.434591,0.416950,0.358662,0.428735,0.468318,0.487307,0.434820,0.451504,0.436922,0.470577,0.246466,0.440283,0.460731,0.448996,0.434157,0.269730,0.513108,0.432402,0.442801,0.277731,0.434361,0.448889,0.435580,0.438182,0.428620,0.423308,0.432254,0.229226,0.469980,0.434165,0.403781,0.248060,0.431220,0.451085,0.470130,0.351108,0.429857,0.464023,0.429783,0.443344,0.427719,0.426016,0.431606,0.438895,0.437689,0.263400,0.427612,0.260200,0.466605,0.448934,0.425947,0.435240,0.501519,0.424920,0.450073,0.440745,0.426672,0.429260,0.482156,0.437528,0.432018,0.355272,0.417399,0.463728,0.438802,0.430584,0.453529,0.338424,0.467209,0.469810,0.422806,0.425177,0.419644,0.461210,0.420296,0.351267,0.431097,0.429262
BB Length,,m,0.06807,0.06457,0.06475,0.0642,0.06387,0.06404,0.06695,0.06563,0.06728,0.06544,0.06266,0.06459,0.06506,0.06475,0.06512,0.06719,0.06527,0.06604,0.06236,0.06715,0.06284,0.06534,0.06514,0.06473,0.06238,0.06632,0.06282,0.06463,0.06486,0.06593,0.06586,0.06247,0.06354,0.06262,0.06329,0.06388,0.06691,0.06461,0.06511,0.06453,0.06499,0.06505,0.06585,0.0623,0.06275,0.06406,0.06356,0.0624,0.06223,0.06308,0.06324,0.06203,0.06252,0.06443,0.06685,0.06533,0.06218,0.06254,0.06596,0.06347,0.06552,0.06538,0.06399,0.06296,0.06681,0.06446,0.06472,0.06712,0.06469,0.06643,0.06688,0.06335,0.06528,0.06373,0.0633,0.0631,0.06341,0.06417,0.06447,0.06234,0.06321,0.06348,0.06389,0.06515,0.06425,0.06597,0.06455,0.06484,0.06431,0.0628,0.06375,0.06392,0.06546,0.06672,0.06296,0.06189,0.06449,0.06499,0.0671,0.06482,0.06271,0.06359,0.06703,0.06291,0.06491,0.0626,0.06268,0.0638,0.06403,0.06276,0.06531,0.06239,0.065,0.06706,0.06671,0.06368,0.06379,0.06272,0.067,0.06323,0.06428,0.06296,0.06346,0.06417,0.06398,0.0628,0.06305,0.06371,0.06713,0.0631,0.0672,0.06199,0.06245,0.06428,0.06374,0.06491,0.06407,0.06417,0.06368,0.06396,0.06403,0.06472,0.06272,0.06482,0.06745,0.06432,0.06304,0.06385,0.06329,0.06505,0.06704,0.06409,0.06544,0.06341,0.06464,0.06385,0.06293,0.06339,0.06701,0.06327,0.063
Dropout Offset,,N/A,0.130021,0.127521,0.127976,0.138555,0.138373,0.140172,0.127583,0.125757,0.128122,0.133285,0.142104,0.128037,0.139746,0.127933,0.145301,0.128312,0.137900,0.127674,0.142154,0.127603,0.139270,0.136745,0.138495,0.127768,0.139737,0.127592,0.142489,0.140776,0.137642,0.127051,0.126186,0.140469,0.141102,0.139470,0.139343,0.138972,0.127125,0.139498,0.127586,0.127613,0.128458,0.128262,0.124964,0.139405,0.140250,0.140306,0.139830,0.138231,0.140924,0.140307,0.139756,0.141455,0.138031,0.140689,0.127642,0.133998,0.141943,0.139657,0.126292,0.139745,0.133148,0.139292,0.139828,0.141435,0.127308,0.136634,0.127934,0.127844,0.138623,0.127080,0.126932,0.140225,0.135602,0.140918,0.138486,0.140102,0.139560,0.140326,0.137616,0.138204,0.140170,0.139852,0.139745,0.138136,0.140128,0.126436,0.138712,0.137766,0.136322,0.140349,0.137497,0.138865,0.133491,0.127217,0.140976,0.138874,0.140612,0.143589,0.127785,0.128457,0.140186,0.139562,0.127706,0.139789,0.138245,0.140379,0.140131,0.139425,0.138994,0.140552,0.125340,0.142290,0.143527,0.127329,0.127130,0.138640,0.137443,0.142429,0.127735,0.140566,0.139498,0.140477,0.139358,0.139805,0.139634,0.140517,0.140682,0.139499,0.127900,0.140502,0.128087,0.137994,0.141526,0.138523,0.138740,0.128230,0.140292,0.140372,0.139508,0.140061,0.137779,0.136516,0.140092,0.141069,0.128825,0.140210,0.138169,0.139424,0.140006,0.138628,0.127761,0.137853,0.133580,0.139579,0.139931,0.140386,0.140681,0.140410,0.127761,0.140134,0.140268
SSB OD,,N/A,0.015832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
CSB OD,,N/A,0.017739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
